ciqual_code	name_en	name_fr	prop_in_categories	prop_in_ingredients
12527	Bresse blue cheese, from cow's milk	Fromage bleu de Bresse	ciqual_food_code	
12723	Cantal, Salers or Laguiole cheese, from cow's milk	Cantal, Salers ou Laguiole	ciqual_food_code	ciqual_food_code
12759	Tomme cheese, from mountain or Savoy	Tomme ou tome de montagne ou de Savoie	ciqual_food_code	ciqual_food_code
12800	Cheese, from goat's milk, fresh, from pasteurised milk	Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)	ciqual_food_code	
12801	Cheese, from goat's milk, from raw milk	Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine)	ciqual_food_code	
12802	Cheese, from goat's milk, from pasteurised milk	Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)	ciqual_food_code	
12804	Cheese, from goat's milk, fresh, from raw milk	Fromage de chèvre frais, au lait cru (type palet ou crottin frais)	ciqual_food_code	
12827	Semi-hard cheese, from ewe's milk	Fromage de brebis à pâte pressée	ciqual_food_code	
13030	Nectarine, pulp and peel, raw	Nectarine ou brugnon, pulpe et peau, crue	ciqual_food_code;ciqual_proxy_food_code	ciqual_food_code;ciqual_proxy_food_code
13050	Apple, pulp, raw	Pomme, pulpe, crue	ciqual_food_code	ciqual_food_code
13107	Pear, peeled, raw	Poire, pulpe, crue	ciqual_food_code	
13108	Fruits compote, miscellaneous	Compote, tout type de fruits	ciqual_food_code	
13109	Fruits compote, miscellaneous, reduced sugar	Compote, tout type de fruits, allégée en sucres	ciqual_food_code	
13112	Grape, raw	Raisin, cru	ciqual_food_code	ciqual_food_code
15016	Chestnut cream, vanilla flavoured, canned	Crème de marrons vanillée, appertisée	ciqual_food_code	
15023	Walnut, fresh	Noix, fraîche	ciqual_food_code	ciqual_food_code;ciqual_proxy_food_code
15028	Cucurbitacea, seed	Cucurbitacées, graine	ciqual_food_code	
16129	Palm oil	Huile de palme, sans précision	ciqual_food_code	ciqual_food_code;ciqual_proxy_food_code
16614	Vegetable fat (like margarine), 80% fat, salted	Matière grasse végétale (type margarine) à 80% MG, salée	ciqual_food_code	
16615	Vegetable fat (margarine type), 80% fat, unsalted	Matière grasse végétale ou margarine, 80% MG, doux	ciqual_food_code	ciqual_food_code
16616	Vegetable fat (margarine type), 70% fat, unsalted	Matière grasse végétale (type margarine) à 70% MG, doux	ciqual_food_code	ciqual_food_code
16654	Vegetable fat (margarine type), 60% fat, unsalted, sunflowerseed	Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux	ciqual_food_code	
16712	Dairy fat 25% fat, light, spreadable, unsalted	Matière grasse laitière à 25% MG, légère, "à tartiner", doux	ciqual_food_code	
