Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
63771	63772	8022	true	10090916	Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 102-59	OSAÜHING LAIMIK	OÜ Laimik	Jaemüük	Harjumaa	Kose mnt 6, Kehra linn, Anija vald, Harjumaa, 74306	59.3315311	25.335832
50597	50598	8023	true	75020233	Harju maakond, Lääne-Harju vald, Harju-Risti küla, Risti kool	RISTI KOOL	Risti Kooli söökla	Toitlustamine	Harjumaa	Risti kool, Harju-Risti küla, Lääne-Harju vald, Harjumaa, 76002	59.228037	24.0140155
49707	49708	8024	true	75002005	Harju maakond, Lääne-Harju vald, Rummu alevik, Aia tn 9a	RUMMU LASTEAED LEPATRIINU	Rummu lasteaed Lepatriinu köök	Toitlustamine	Harjumaa	Aia 9a, Rummu alevik, Lääne-Harju vald, Harjumaa, 76102	59.2319799	24.1955932
63503	63504	8028	true	10042598	Harju maakond, Lääne-Harju vald, Paldiski linn, Rae tn 23	OSAÜHING KONVERS	OÜ Konvers	Jaemüük	Harjumaa	Rae 23, Paldiski linn, Lääne-Harju vald, Harjumaa, 76806	59.3524745	24.054972
64212	64213	8029	true	10189582	Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 21-120	OSAÜHING MOLINAR	kauplus Mini - Topp	Jaemüük	Harjumaa	Aedlinna tee 8, Klooga alevik, Lääne-Harju vald, Harju maakond, 76703	59.3212175	24.2260745
64658	64659	8031	true	10306496	Harju maakond, Tallinn, Nõmme linnaosa, Vabaduse pst 130	OSAÜHING KET-BOX	OÜ Ket-Box	Toitlustamine	Harjumaa	A. H. Tammsaare tee 147, Mustamäe linnaosa, Tallinn, Harjumaa, 12915	59.4094151	24.6712116
63256	63257	8035	true	10394715	Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 48	GLABOR OÜ	OÜ Glabor	Toitlustamine	Harjumaa	Punane 48, Lasnamäe linnaosa, Tallinn, Harjumaa, 13619	59.4350993	24.843066
64464	64465	8037	true	10260601	Harju maakond, Tallinn, Lasnamäe linnaosa, Meeliku tn 23/3-9	SHAURMA TALLINN OÜ	KIOSK	Jaemüük	Harjumaa	Punane 37a, Lasnamäe linnaosa, Tallinn, Harjumaa, 13611	59.4335132	24.828058
65410	65411	8041	true	10562928	Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7d	OSAÜHING TÄHETORNI	OÜ Tähetorni	Toitlustamine	Harjumaa	Narva mnt 7d, Kesklinna linnaosa, Tallinn, Harjumaa, 10117	59.43809	24.7603685
63332	63334	8047	true	10008480	Harju maakond, Rae vald, Lehmja küla, Põrguvälja tee 20	OSAÜHING TUULEVESKI	Rahva Toit	Toitlustamine	Harjumaa	Tartu mnt 87d, Lasnamäe linnaosa, Tallinn, Harjumaa, 10112	59.4250447	24.7850573
64210	64211	8049	true	10188186	Harju maakond, Keila linn, Ohtu tee 2	OSAÜHING RMM TOITLUSTUS	RMM Toitlustus OÜ	Toitlustamine	Harjumaa	Ohtu tee 2, Keila linn, Harjumaa, 76605	59.3070671	24.4166969
63791	63792	8050	true	10093758	Harju maakond, Lääne-Harju vald, Metslõugu küla, Pennu	OSAÜHING KIVIORG	OÜ Kiviorg	Jaemüük	Harjumaa	Kloostri, Padise küla, Lääne-Harju vald, Harjumaa, 76001	59.227491	24.1407488
63791	63793	8051	true	10093758	Harju maakond, Lääne-Harju vald, Metslõugu küla, Pennu	OSAÜHING KIVIORG	OÜ Kiviorg	Jaemüük	Harjumaa	Kasepere küla, Lääne-Harju vald, Harju maakond, 76007	59.2161843	24.1712511
49563	78992	8057	true	70008641	Harju maakond, Tallinn, Kesklinna linnaosa, Juhkentali tn 58	KAITSEVÄGI	Toetuse väejuhatuse materjaliteenistuse Paldiski toitlustuskompleks	Toitlustamine	Harjumaa	Rae põik 1, Paldiski linn, Lääne-Harju vald, Harjumaa, 76806	59.3412903	24.081214
74071	74073	8067	true	10863512	Harju maakond, Tallinn, Haabersti linnaosa, Ehitajate tee 114b	IMPULS EE OÜ	Impuls Spordiklubi vastuvõtt	Toitlustamine	Harjumaa	Ehitajate tee 114b, Haabersti linnaosa, Tallinn, Harjumaa, 13517	59.4139023	24.6599601
68315	68316	8070	true	11763592	Harju maakond, Tallinn, Lasnamäe linnaosa, Läänemere tee 17-6	FIE SVETLANA MALINOVSKAJA	FIE Svetlana Malinovskaja	Toitlustamine	Harjumaa	Suur-Sõjamäe 31, Lasnamäe linnaosa, Tallinn, Harjumaa, 11415	59.4167393	24.8567833
65153	65154	8072	true	10448535	Harju maakond, Tallinn, Lasnamäe linnaosa, K. Kärberi tn 39	OSAÜHING LABEKOL	OÜ Labekol	Jaemüük	Harjumaa	K. Kärberi 39, Lasnamäe linnaosa, Tallinn, Harjumaa, 13919	59.4478665	24.8919758
73747	73749	8077	true	10088042	Harju maakond, Keila linn, Haapsalu mnt 57a	KEILA TARBIJATE ÜHISTU	Laitse Kauplus	Jaemüük	Harjumaa	Kaupluse, Kaasiku küla, Saue vald, Harjumaa, 76317	59.197061	24.3204421
70625	78109	8078	true	10026495	Harju maakond, Harku vald, Tutermaa küla, Meistri tee 3	LEPSONI ÄRI OSAÜHING	Tutermaa Kauplus	Jaemüük	Harjumaa	Meistri tee 3, Tutermaa küla, Harku vald, Harjumaa, 76617	59.3301592	24.4722486
64214	64221	8084	true	10190065	Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 13	PREMIER RESTAURANTS EESTI OÜ	Mc Donald' s	Toitlustamine	Harjumaa	Sõpruse pst 200b, Mustamäe linnaosa, Tallinn, Harjumaa, 13423	59.4059627	24.7004812
67168	67169	8085	true	11291124	Lääne-Viru maakond, Vinni vald, Viru-Kabala küla, Jaama tn 10	VEIPIR OÜ	OÜ Veipir	Toitlustamine	Harjumaa	Punane 61,Tallinn, Harjumaa, 13619	59.4371121	24.8471643
69154	69155	8087	true	12116570	Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 8a	MEGAKRINGEL OÜ	OÜ Megakringel	Toitlustamine	Harjumaa	Suur-Sõjamäe 8a, Lasnamäe linnaosa, Tallinn, Harjumaa, 11415	59.4227393	24.7968442
73747	73756	8089	true	10088042	Harju maakond, Keila linn, Haapsalu mnt 57a	KEILA TARBIJATE ÜHISTU	Keila Tarbijate Ühistu	Jaemüük	Harjumaa	Jaama tee 8, Turba alevik, Saue vald, Harju maakond, 76201	59.0805674	24.2365608
71433	71439	8096	true	10054238	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	AKTSIASELTS OG ELEKTRA	Grossi Toidukaubad	Jaemüük	Harjumaa	A. H. Tammsaare tee 93, Mustamäe linnaosa, Tallinn, Harjumaa, 13416	59.4061685	24.6912213
74922	74924	8104	true	11694773	Harju maakond, Tallinn, Kesklinna linnaosa, Harju tn 1	GASTRO OÜ	kohvik-restoran Fish & Wine	Toitlustamine	Harjumaa	Harju 1, Kesklinna linnaosa, Tallinn, Harjumaa, 10146	59.4361586	24.7447623
67391	78228	8109	true	11391363	Harju maakond, Tallinn, Kesklinna linnaosa, Hõbeda tn 6	BALTIC RESTAURANTS ESTONIA AS	Baltic Restaurants Estonia As	Toitlustamine	Harjumaa	Luise 38, Kesklinna linnaosa, Tallinn, Harjumaa, 10142	59.4298045	24.728521
65448	65449	8110	true	10574156	Harju maakond, Tallinn, Kesklinna linnaosa, Toompuiestee 19	OSAÜHING HOTEL L'ERMITAGE	OÜ Hotel L´Ermitage	Toitlustamine	Harjumaa	Toompuiestee 19, Kesklinna linnaosa, Tallinn, Harjumaa, 10137	59.4340215	24.7333163
65157	65158	8113	true	10449480	Harju maakond, Tallinn, Lasnamäe linnaosa, Vikerlase tn 11	OSAÜHING SEIGO GRUPP	OÜ Seigo Grupp	Jaemüük	Harjumaa	Vikerlase 11, Lasnamäe linnaosa, Tallinn, Harjumaa, 13615	59.4384583	24.8386977
49518	49520	8114	true	70004637	Harju maakond, Tallinn, Lasnamäe linnaosa, Majaka tn 2	TALLINNA TEENINDUSKOOL	Teeninduskooli söökla	Toitlustamine	Harjumaa	Majaka 2, Lasnamäe linnaosa, Tallinn, Harjumaa, 11412	59.4292603	24.7856849
71759	71840	8115	true	10263574	Harju maakond, Rae vald, Pildiküla, Põrguvälja tee 3	RIMI EESTI FOOD AS	Ülemiste Rimi Hyper	Jaemüük	Harjumaa	Suur-Sõjamäe 4, Lasnamäe linnaosa, Tallinn, Harjumaa, 11415	59.4219071	24.7944225
72089	72097	8120	true	10381865	Harju maakond, Tallinn, Kesklinna linnaosa, Vana-Lõuna tn 37	PAGARIPOISID OÜ	Pagaripoisid	Toitlustamine	Harjumaa	Vana-Lõuna 37, Kesklinna linnaosa, Tallinn, Harjumaa, 10134	59.4212469	24.7449855
65641	65642	8122	true	10656380	Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 35a	OSAÜHING PALETON	Argentiina restoran	Toitlustamine	Harjumaa	Pärnu mnt 37, Kesklinna linnaosa, Tallinn, Harjumaa, 10119	59.4292895	24.7437951
50507	50508	8123	true	75018928	Harju maakond, Tallinn, Mustamäe linnaosa, Ehitajate tee 50	TALLINNA TÄHEKESE LASTEAED	Tallinna Tähekese Lasteaed	Toitlustamine	Harjumaa	Ehitajate tee 50, Mustamäe linnaosa, Tallinn, Harjumaa, 12911	59.4027282	24.6720295
50511	50512	8124	true	75018940	Harju maakond, Tallinn, Mustamäe linnaosa, Mustamäe tee 187	TALLINNA LEHOLA LASTEAED	Tallinna Lehola Lasteaed	Toitlustamine	Harjumaa	Mustamäe tee 187, Mustamäe linnaosa, Tallinn, Harjumaa, 12912	59.4025919	24.6823439
73080	73103	8126	true	10406134	Harju maakond, Saku vald, Tänassilma küla, Põikmäe tn 2	AS R-KIOSK ESTONIA	AS R- Kiosk Estonia	Jaemüük	Harjumaa	Mustamäe tee 22, Kristiine linnaosa, Tallinn, Harjumaa, 10621	59.4189373	24.6937477
67519	85679	8132	true	11426771	Harju maakond, Keila linn, Kruusa tn 23	KEILA ALUSHARIDUSE OÜ	Rukkilille lasteaia köök	Toitlustamine	Harjumaa	Kruusa 23, Keila linn, Harjumaa, 76607	59.3106139	24.4008422
73747	73750	8133	true	10088042	Harju maakond, Keila linn, Haapsalu mnt 57a	KEILA TARBIJATE ÜHISTU	Jaama kauplus	Jaemüük	Harjumaa	Jaama 1, Keila linn, Harjumaa, 76605	59.306825	24.4138698
72657	72665	8134	true	10136870	Tartu maakond, Tartu linn, Tartu linn, Võru tn 79	AKTSIASELTS OLEREX	AS Olerex	Jaemüük	Harjumaa	Keemikute 1, Maardu linn, Harjumaa, 74111	59.4705782	25.0164351
65108	65109	8145	true	10428354	Harju maakond, Tallinn, Nõmme linnaosa, Pargi tn 16	OSAÜHING LASTEKESKUS MIDRIMAAILM	OÜ Lastekeskus Midrimaailm	Toitlustamine	Harjumaa	Pargi 16, Nõmme linnaosa, Tallinn, Harjumaa, 11613	59.3733023	24.674933
50385	50386	8148	true	75017449	Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Timuti tn 24	KOLDE LASTEAED	Kolde lasteaed	Toitlustamine	Harjumaa	Timuti 24, Põhja-Tallinna linnaosa, Tallinn, Harjumaa, 10320	59.4404543	24.7141401
64569	64570	8154	true	10286204	Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 104	AS TAASTAVA KIRURGIA KLIINIK	AS Taastava Kirurgia Kliinik	Toitlustamine	Harjumaa	Pärnu mnt 104, Kesklinna linnaosa, Tallinn, Harjumaa, 11312	59.4170895	24.7389775
75849	75852	8165	true	10312806	Harju maakond, Saue vald, Saue linn, Uusaru tn 3	AS HESBURGER	Hesburger	Toitlustamine	Harjumaa	Punane 43, Lasnamäe linnaosa, Tallinn, Harjumaa, 13619	59.434629	24.832231
65148	65150	8166	true	10447529	Harju maakond, Saue vald, Laagri alevik, Seljaku tn 15	OSAÜHING BOUNTY	Peetri Pizza	Toitlustamine	Harjumaa	Sõpruse pst 174/176, Tallinn, Harjumaa, 13424	59.4146163	24.7072669
65060	65061	8168	true	10410727	Harju maakond, Tallinn, Lasnamäe linnaosa, J. Koorti tn 6-179	OSAÜHING SAMENS KAUBANDUS	OÜ Samens Kaubandus	Jaemüük	Harjumaa	J. Koorti 4, Lasnamäe linnaosa, Tallinn, Harjumaa, 13623	59.4417594	24.8262466
50947	50948	8172	true	75035370	Harju maakond, Saku vald, Kajamaa küla, Tõdva tee 8	KAJAMAA KOOL	Kajamaa Kool	Toitlustamine	Harjumaa	Tõdva tee 8, Kajamaa küla, Saku vald, Harjumaa, 75504	59.2704206	24.7296475
50873	50874	8176	true	75026649	Harju maakond, Jõelähtme vald, Kostivere alevik, Aruküla tee 3	KOSTIVERE KOOL	Kostivere Kool	Toitlustamine	Harjumaa	Aruküla tee 3, Kostivere alevik, Jõelähtme vald, Harjumaa, 74204	59.4253953	25.0930831
50869	50870	8179	true	75026619	Harju maakond, Jõelähtme vald, Kostivere alevik, Aruküla tee 1	KOSTIVERE LASTEAED	Kostivere lasteaia köök	Toitlustamine	Harjumaa	Aruküla tee 1, Kostivere alevik, Jõelähtme vald, Harjumaa, 74204	59.4268055	25.0932332
72267	72287	8184	true	10180925	Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 47	CIRCLE K EESTI AKTSIASELTS	Viimsi Teenindusjaam	Jaemüük	Harjumaa	Randvere tee 1, Miiduranna küla, Viimsi vald, Harjumaa, 74015	59.4987648	24.8287767
64808	64822	8186	true	10347236	Harju maakond, Tallinn, Kesklinna linnaosa, Saku tn 6	HARJU TARBIJATE ÜHISTU	Haabneeme Konsum	Jaemüük	Harjumaa	Rohuneeme tee 32, Haabneeme alevik, Viimsi vald, Harjumaa, 74001	59.5129675	24.8200153
50032	50033	8188	true	75010720	Harju maakond, Raasiku vald, Aruküla alevik, Staadioni tn 6	ARUKÜLA LASTEAED RUKKILILL	Aruküla Lasteaed Rukkilill köök	Toitlustamine	Harjumaa	Staadioni 6, Aruküla alevik, Raasiku vald, Harjumaa, 75201	59.3644632	25.0788689
67140	67142	8191	true	11274373	Harju maakond, Tallinn, Kesklinna linnaosa, Viru tn 18	OÜ VENTOLUKS	OÜ Ventoluks	Toitlustamine	Harjumaa	Viru 18,Tallinn, Harjumaa, 10140	59.436548	24.74893
68361	68362	8195	true	11790459	Harju maakond, Anija vald, Kehra linn, Spordi tn 2b	KEHRA SPORDIPUBI OÜ	Sohvik nr 2	Toitlustamine	Harjumaa	Spordi 2b, Kehra linn, Anija vald, Harjumaa, 74306	59.3314385	25.3319889
63260	63261	8196	true	10715835	Harju maakond, Kose vald, Kose alevik, Pikk põik 3	OÜ PORRI & KO	OÜ Porri & Ko	Toitlustamine	Harjumaa	Tartu mnt 7, Kose alevik, Kose vald, Harjumaa, 75101	59.1669664	25.1759717
63485	63486	8197	true	10037889	Harju maakond, Kose vald, Habaja alevik, Kose mnt 17	OSAÜHING TALUKIVI ÄRI	OÜ Talukivi Äri	Jaemüük	Harjumaa	Kose mnt 17, Habaja alevik, Kose vald, Harjumaa, 75002	59.1069256	25.1664441
64549	64550	8198	true	10280874	Harju maakond, Tallinn, Kesklinna linnaosa, Koidu tn 56a-11	OSAÜHING SAJAJALGNE	OÜ Sajajalgne	Toitlustamine	Harjumaa	Koidu 56a, Kesklinna linnaosa, Tallinn, Harjumaa, 10122	59.4278124	24.7305388
64042	64043	8199	true	10143640	Harju maakond, Kose vald, Kose alevik, Pikk tn 17	OSAÜHING LAURA KAUPLUS	OÜ Laura Kauplus	Jaemüük	Harjumaa	Pikk 17, Kose alevik, Kose vald, Harjumaa, 75101	59.1859248	25.1658124
50034	50035	8202	true	75010737	Harju maakond, Raasiku vald, Aruküla alevik, Põllu tn 5	ARUKÜLA PÕHIKOOL	Aruküla Põhikooli söökla	Toitlustamine	Harjumaa	Põllu 5, Aruküla alevik, Raasiku vald, Harjumaa, 75201	59.3648634	25.0768091
70316	70317	8205	true	80143133	Harju maakond, Tallinn, Lasnamäe linnaosa, Liikuri tn 40-1	MITTETULUNDUSÜHING MA RAY SOTSIAALABI ÜHENDUS	sotsiaalabi köök	Toitlustamine	Harjumaa	Vilisuu 7, Lasnamäe linnaosa, Tallinn, Harjumaa, 13626	59.4375717	24.8460829
66999	67000	8212	true	11209849	Harju maakond, Saku vald, Saku alevik, Aasa tn 3	OÜ TAMMIKO PAGAR	Pagariäri	Jaemüük	Harjumaa	Aasa 3, Saku alevik, Saku vald, Harjumaa, 75501	59.3014783	24.6628734
65223	65224	8215	true	10478056	Harju maakond, Viimsi vald, Haabneeme alevik, Pihlaka tee 5	OÜ PLG TOITLUSTAMINE	PLG Toitlustamine OÜ	Toitlustamine	Harjumaa	Narva mnt 2, Kesklinna linnaosa, Tallinn, Harjumaa, 10117	59.4375275	24.7645492
63875	63891	8219	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Olympic Casino baar Nautica	Toitlustamine	Harjumaa	Ahtri 9, Kesklinna linnaosa, Tallinn, Harjumaa, 10151	59.4398291	24.7612686
63875	63887	8223	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Kungla Investeeringu OÜ	Toitlustamine	Harjumaa	Pärnu mnt 238, Nõmme linnaosa, Tallinn, Harjumaa, 11624	59.3921629	24.7209503
64797	64802	8228	true	10345846	Harju maakond, Saku vald, Tänassilma küla, Arunõmme tee 24	OSAÜHING ORFEUM	Nõmme Põhikooli Söökla	Toitlustamine	Harjumaa	Raudtee 68, Nõmme linnaosa, Tallinn, Harjumaa, 11618	59.3856104	24.6800161
70281	70282	8233	true	80118750	Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Preesi tn 5	PEETELI KIRIKU SOTSIAALKESKUS	sotsiaalkeskuse köök	Toitlustamine	Harjumaa	Preesi 5, Põhja-Tallinna linnaosa, Tallinn, Harjumaa, 10320	59.4376166	24.7132667
64249	64251	8237	true	10195364	Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 5	OÜ FEETER	Wunderbar	Toitlustamine	Harjumaa	Tule põik 1, Saue, Harjumaa, 76505	59.3186525	24.5673071
73747	73755	8238	true	10088042	Harju maakond, Keila linn, Haapsalu mnt 57a	KEILA TARBIJATE ÜHISTU	Keila Tarbijate Ühistu	Jaemüük	Harjumaa	Haapsalu mnt 57a, Keila linn, Harjumaa, 76607	59.3072933	24.401338
63875	63884	8239	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Kungla Investeeringu OÜ	Toitlustamine	Harjumaa	Suur-Sõjamäe 4, Lasnamäe linnaosa, Tallinn, Harjumaa, 11415	59.4219071	24.7944225
64042	64044	8240	true	10143640	Harju maakond, Kose vald, Kose alevik, Pikk tn 17	OSAÜHING LAURA KAUPLUS	OÜ Laura Kauplus	Jaemüük	Harjumaa	Ravila alevik, Kose vald, Harjumaa, 75101	59.1833353	25.2208223
63875	63879	8245	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Olympic Casino Baar	Toitlustamine	Harjumaa	Regati pst 1, Pirita linnaosa, Tallinn, Harjumaa, 11911	59.4652666	24.8246177
63875	63882	8246	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Kungla Investeeringu OÜ	Toitlustamine	Harjumaa	A. H. Tammsaare tee 116, Mustamäe linnaosa, Tallinn, Harjumaa, 12918	59.4107196	24.6830131
63875	63890	8247	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Kristiine Olympic Casino Baar	Toitlustamine	Harjumaa	Endla 45, Kristiine linnaosa, Tallinn, Harjumaa, 10615	59.4269732	24.7227894
70451	70452	8250	true	80321994	Harju maakond, Tallinn, Lasnamäe linnaosa, Pallasti tn 39	MTÜ MEELESPEA WALDORFLASTEAED	MTÜ Meelespea Waldorflasteaed jaotusköök	Toitlustamine	Harjumaa	Pallasti 39, Lasnamäe linnaosa, Tallinn, Harjumaa, 11413	59.4327878	24.7947687
63875	63893	8255	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Olympic Casino Baar	Toitlustamine	Harjumaa	Mahtra 1, Lasnamäe linnaosa, Tallinn, Harjumaa, 13811	59.4424079	24.8735398
63875	63888	8262	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Kungla Investeeringu OÜ	Toitlustamine	Harjumaa	Mustakivi tee 13, Lasnamäe linnaosa, Tallinn, Harjumaa, 13912	59.4426286	24.8619544
67708	67709	8263	true	11511695	Harju maakond, Tallinn, Kesklinna linnaosa, Kanali tee 6	OÜ PRUHA	OÜ Pruha	Toitlustamine	Harjumaa	Kanali tee 6, Kesklinn, Tallinn, Harjumaa, 10112	59.4085637	24.8112392
72499	72505	8264	true	10647665	Harju maakond, Tallinn, Lasnamäe linnaosa, Sarruse tn 14	AKTSIASELTS EESTI EINE	Eesti Eine AS jaotusköögid	Toitlustamine	Harjumaa	Sõle 23/1, Põhja-Tallinna linnaosa, Tallinn, Harjumaa, 10614	59.4364217	24.7093412
71891	71892	8266	true	10204075	Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kopli tn 33	JK TAVERNI OSAÜHING	OÜ JK Taverni	Toitlustamine	Harjumaa	Kopli 33, Põhja-Tallinna linnaosa, Tallinn, Harjumaa, 10412	59.4499757	24.7086376
75144	75170	8275	true	10379733	Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 238	SELVER AS	Kakumäe Selver	Jaemüük	Harjumaa	Rannamõisa tee 6, Haabersti linnaosa, Tallinn, Harjumaa, 13516	59.4281865	24.6269535
67136	67137	8278	true	11272538	Harju maakond, Loksa linn, Tallinna tn 22	VIGSALEX OÜ	Valentina Kauplus	Jaemüük	Harjumaa	Tallinna 22, Loksa linn, Harjumaa, 74806	59.5817359	25.7191014
70360	70362	8284	true	80210970	Harju maakond, Tallinn, Kesklinna linnaosa, Toompuiestee 4	EESTI EVANGEELSE LUTERLIKU KIRIKU TALLINNA TOOMPEA KAARLI KOGUDUS	KAARLI KOOLI LASTEAED	Toitlustamine	Harjumaa	Koidu 12, Kesklinna linnaosa, Tallinn, Harjumaa, 10137	59.4331234	24.7290848
50556	50558	8285	true	75019230	Harju maakond, Tallinn, Kristiine linnaosa, Käo tn 53	KÄO TUGIKESKUS	söögikoht	Toitlustamine	Harjumaa	Võidujooksu 18, Lasnamäe linnaosa, Tallinn, Harjumaa, 11414	59.4350687	24.8131729
50556	50557	8291	true	75019230	Harju maakond, Tallinn, Kristiine linnaosa, Käo tn 53	KÄO TUGIKESKUS	päevakeskus Käo	Toitlustamine	Harjumaa	Käo 53, Kristiine linnaosa, Tallinn, Harjumaa, 11317	59.4074663	24.7194687
64647	64648	8294	true	10304304	Harju maakond, Tallinn, Haabersti linnaosa, Paldiski mnt 133	OSAÜHING KÖÖGIKRATT	OÜ Köögikratt	Toitlustamine	Harjumaa	Forelli 10, Kristiine linnaosa, Tallinn, Harjumaa, 10621	59.4198721	24.6891694
69344	69345	8296	true	12193056	Harju maakond, Jõelähtme vald, Maardu küla, Ridva tn 1	TRIOPOINT OÜ	kauplus Kuld Kalake	Jaemüük	Harjumaa	Mahtra 1, Lasnamäe linnaosa, Tallinn, Harjumaa, 13811	59.4424079	24.8735398
63536	63538	8298	true	10048350	Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Toompuiestee 27	MERITON HOTELS AS	Bistro Mary, Grill 250, Cafe Mademoiselle, restoran Grand Tallinn, konverentsiruum Neptun, SPA bar, II korruse konverentsikeskus, A.H. Tammsaare konverentsiruum, söökla, restoran Balalaika, Cubana baar	Toitlustamine	Harjumaa	Toompuiestee 27, Põhja-Tallinna linnaosa, Tallinn, Harjumaa, 10149	59.435313	24.7323573
63808	63809	8302	true	10096403	Harju maakond, Tallinn, Kesklinna linnaosa, Pikk jalg 9	OSAÜHING KINAVER	Bogapott kohvik	Toitlustamine	Harjumaa	Pikk jalg 9, Kesklinna linnaosa, Tallinn, Harjumaa, 10130	59.4361028	24.7408853
65490	65491	8303	true	10589169	Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8-241c	MOLUMONG DUKUZINI OÜ	Baarid Woodstock ja Rock Stars	Toitlustamine	Harjumaa	Tatari 6,Tallinn, Harjumaa, 10116	59.4318649	24.7462891
66319	66320	8304	true	10924484	Harju maakond, Tallinn, Kesklinna linnaosa, Pikk tn 39/1	OÜ HUNT KRIIMSILM	Pubi Hunt Kriimsilm	Toitlustamine	Harjumaa	Pikk 39/1, Kesklinna linnaosa, Tallinn, Harjumaa, 10133	59.439399	24.7465803
63875	63885	8305	true	10103126	Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 19	KUNGLA INVESTEERINGU OSAÜHING	Kungla Investeeringu OÜ	Toitlustamine	Harjumaa	Õismäe tee 1b,Tallinn, Harjumaa, 13514	59.4137955	24.6545221
64797	64803	8306	true	10345846	Harju maakond, Saku vald, Tänassilma küla, Arunõmme tee 24	OSAÜHING ORFEUM	Ofreum OÜ	Toitlustamine	Harjumaa	Vabaduse pst 50, Nõmme linnaosa, Tallinn, Harjumaa, 11615	59.3830282	24.7034712
50395	50396	8307	true	75017490	Harju maakond, Tallinn, Nõmme linnaosa, Metsa tn 38	TALLINNA LASTESÕIM MÕMMIK	Tallinna Lastesõime Mõmmik köök	Toitlustamine	Harjumaa	Metsa 38, Nõmme linnaosa, Tallinn, Harjumaa, 11618	59.3809146	24.6808083
66971	66972	8308	true	11196851	Harju maakond, Tallinn, Nõmme linnaosa, Vabaduse pst 131	OÜ VÄIKELASTE PÄEVAHOID	OÜ Väikelaste Päevahoid	Toitlustamine	Harjumaa	Vabaduse pst 131, Nõmme linnaosa, Tallinn, Harjumaa, 11613	59.3743413	24.6715053
64797	64798	8309	true	10345846	Harju maakond, Saku vald, Tänassilma küla, Arunõmme tee 24	OSAÜHING ORFEUM	OÜ Orfeum	Toitlustamine	Harjumaa	Raudtee 55, Nõmme linnaosa, Tallinn, Harjumaa, 11619	59.3831636	24.6742306
66728	66730	8318	true	11084782	Harju maakond, Tallinn, Kesklinna linnaosa, Vabaduse väljak 3	TALLINNHOTELS OÜ	TALLINNHOTELS OÜ	Toitlustamine	Harjumaa	Aia 10, Kesklinna linnaosa, Tallinn, Harjumaa, 10111	59.4384126	24.7514546
50951	50952	8320	true	75035453	Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 10	TALLINNA PADRIKU LASTEAED	Padriku Lasteaia köök	Toitlustamine	Harjumaa	Padriku tee 10,Tallinn, Harjumaa, 11912	59.4827783	24.8535319
67391	67435	8323	true	11391363	Harju maakond, Tallinn, Kesklinna linnaosa, Hõbeda tn 6	BALTIC RESTAURANTS ESTONIA AS	Audentese Erakooli söökla	Toitlustamine	Harjumaa	Tondi 84/4, Kristiine linnaosa, Tallinn, Harjumaa, 11316	59.404768	24.714348
