Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
67315	67316	11141	true	11362798	Saare maakond, Saaremaa vald, Kahutsi küla, Tohvri	PUHKERING OÜ	Tohvri talu	Toitlustamine	Saaremaa	Tohvri, Kahutsi küla, Saaremaa vald, Saare maakond, 94513	58.518896	23.029074
64300	64301	11145	true	10206205	Saare maakond, Saaremaa vald, Kuressaare linn, Talve tn 77	OSAÜHING HAAKERI	Kaali Trahter	Toitlustamine	Saaremaa	Kaali küla, Saaremaa vald, Saare maakond, 94143	58.3567528	22.6710871
66626	66629	11148	true	11041930	Saare maakond, Saaremaa vald, Karja küla, Sinilille	OSAÜHING FORSENT GRUPP	Metsküla kauplus	Jaemüük	Saaremaa	Metsküla küla, Saaremaa vald, Saare maakond, 94271	58.5670344	22.5286897
74242	74245	11154	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Eikla kauplus	Jaemüük	Saaremaa	Kaupluse, Eikla küla, Saaremaa vald, Saaremaa, 93881	58.4213889	22.5219445
70455	70456	11157	true	80340158	Saare maakond, Saaremaa vald, Metsküla, Kooli	MITTETULUNDUSÜHING METSKÜLA LASTEHOID	Metsküla Lastehoid	Toitlustamine	Saaremaa	Metsküla küla, Saaremaa vald, Saare maakond, 94271	58.5670344	22.5286897
70940	70941	1116	true	10794691	Viljandi maakond, Viljandi linn, Piiri põik 5	OSAÜHING MYKENE VILJANDI	Mykene Viljandi	Hulgimüük	Viljandimaa	Piiri põik 5, Viljandi, Viljandimaa, 71020	58.3601221	25.5619236
74148	74149	11164	true	10297225	Saare maakond, Saaremaa vald, Kuressaare linn, Papli tn 12	OSAÜHING VIKA VKN	Vika VKN OÜ kalapood	Jaemüük	Saaremaa	Kihelkonna mnt 3, Saaremaa vald, Kuressaare linn, Saare maakond, 93810	58.2625641	22.4801864
74242	74244	11165	true	10044010	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 5	SAAREMAA TARBIJATE ÜHISTU	Maiasmokk	Toitlustamine	Saaremaa	Raekoja 1, Saaremaa vald, Kuressaare linn, Saare maakond, 93814	58.2521077	22.4861875
70421	70422	11166	true	80285301	Saare maakond, Saaremaa vald, Loona küla, Loona mõis/1	LOONA MTÜ	Loona mõisa restoran	Toitlustamine	Saaremaa	Loona mõis, Loona küla, Saaremaa vald, Saare maakond, 93431	58.33291	22.021566
64876	64877	11177	true	10358814	Saare maakond, Saaremaa vald, Kiratsi küla, Tarva	OSAÜHING A.T.T. SAKSA	Saksa Talupood	Jaemüük	Saaremaa	Tiigi, Kiratsi küla, Saaremaa vald, Saaremaa, 93741	58.3276018	22.5688775
