 Section 	 Section Descr. FR	No agrément	Dénomination	street_address	city	 Catégorie 	Activité associée 	 Espèce	 Remarques 	Adresse	slugadresse	lat	lng
0	Etablissements activité générale	KF102779	IMP	Europark  2057 	3530 Houthalen-Helchteren	CS	CP, MP			Europark  2057  ,3530 Houthalen-Helchteren	Europark  2057  , 3530 Houthalen-Helchteren , Belgium	51,0422804	5,3999738
0	Etablissements activité générale	KF102857	Hanssens Bake & Food	Heerweg  11 	8400 Oostende	CS				Heerweg  11  ,8400 Oostende	Heerweg  11  , 8400 Oostende , Belgium	51,1905122	2,8997809
0	Etablissements activité générale	KF102875	QUALITY FOOD	Kazerneweg(KRU)  23 A 	9770 Kruishoutem	CS	CP, MP			Kazerneweg(KRU)  23 A  ,9770 Kruishoutem	Kazerneweg  23 A  , 9770 Kruishoutem , Belgium	50,918936	3,527152
0	Etablissements activité générale	KF102903	BIERVLIET FREEZ CENTER	Wijnendalestraat  5 	8600 Diksmuide	CS				Wijnendalestraat  5  ,8600 Diksmuide	Wijnendalestraat  5  , 8600 Diksmuide , Belgium	51,0586125	2,8779274
0	Etablissements activité générale	KF102931	ZEEBRUGGE FOOD LOGISTICS	Noordzeestraat  201 	8380 Brugge	CS				Noordzeestraat  201  ,8380 Brugge	Noordzeestraat  201  , 8380 Brugge , Belgium	51,3247444	3,2003042
0	Etablissements activité générale	KF102948	PARTRANSA	Hamelendreef  70 	3300 Tienen	CS				Hamelendreef  70  ,3300 Tienen	Hamelendreef  70  , 3300 Tienen , Belgium	50,8148127	4,9569085
0	Etablissements activité générale	KF102982	METRO Namur	Rue de l'Artisanat(RH)  16 	5020 Namur	CS	FFPP			Rue de l'Artisanat(RH)  16  ,5020 Namur	Rue de l Artisanat  16  , 5020 Namur , Belgium	50,490149	4,80166
0	Etablissements activité générale	KF102994	MEATSERVICE DISTRIBUTION	Rue de l'Energie(RH)  20 	5020 Namur	CS				Rue de l'Energie(RH)  20  ,5020 Namur	Rue de l Energie  20  , 5020 Namur , Belgium	50,486601	4,806597
0	Etablissements activité générale	KF102997	MAKRO CASH & CARRY BELGIUM	Rue du Lieutenant Lotin  20 	1190 Forest	CS	FFPP			Rue du Lieutenant Lotin  20  ,1190 Forest	Rue du Lieutenant Lotin  20  , 1190 Forest , Belgium	50,8101019	4,3063199
0	Etablissements activité générale	KF103010	LOBET	Allée de la Recherche  18BIS 	1070 Anderlecht	CS				Allée de la Recherche  18BIS  ,1070 Anderlecht	Allée de la Recherche  18BIS  , 1070 Anderlecht , Belgium	50,8167526	4,2670729
0	Etablissements activité générale	KF103072	Cooltrans Logistics	Victor Dumonlaan  4 	2830 Willebroek	CS				Victor Dumonlaan  4  ,2830 Willebroek	Victor Dumonlaan  4  , 2830 Willebroek , Belgium	51,0748907	4,364745
0	Etablissements activité générale	KF103083	HERVE COLDSTORE	Begoniastraat  19 	9810 Eke	CS			fl and/of sn	Begoniastraat  19  ,9810 Eke	Begoniastraat  19  , 9810 Eke , Belgium	50,9773	3,6575926
0	Etablissements activité générale	KF103083	HERVE COLDSTORE	Begoniastraat  19 	9810 Eke	CS				Begoniastraat  19  ,9810 Eke	Begoniastraat  19  , 9810 Eke , Belgium	50,9773	3,6575926
