Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 84964150;;;84964150;84964150;Société coopérative Centrale Laitière Champsec-Versegères-Prarreyer-Bruson & environs;Route de Mauvoisin208;Société coopérative Centrale Laitière Champsec-Versegères-Prarreyer-Bruson & environs, Route de Mauvoisin208, 1947, Switzerland ;1947;1947 VS;PP;;B;
CH 4156;46,5268857;6,9001392;4156;66610532;Dévaud Dominique;Place d'Armes21;Dévaud Dominique, Place d'Armes21, 1618, Switzerland ;1618;1618 FR;PP;;B;
CH 6237;;;6237;114793;Sücka Alpgen Triesenberg;Alpe Sücka;Sücka Alpgen Triesenberg, Alpe Sücka, 9497, Switzerland ;9497;9497 FL;PP;;B;
CH 63431277;;;63431277;63431277;Alp- & Milchverwertungs-Genossenschaft;Flensa304;Alp- & Milchverwertungs-Genossenschaft, Flensa304, 7112, Switzerland ;7112;7112 GR;CC;;B;
CH 3133;;;3133;70789060;Walter & Sonja Voramwald;Bernstrasse18;Walter & Sonja Voramwald, Bernstrasse18, 3303, Switzerland ;3303;3303 BE;PP;;B, C, O;
CH 3581;;;3581;75586250;Guido Eberle Käserei;Käsereistrasse4;Guido Eberle Käserei, Käsereistrasse4, 8554, Switzerland ;8554;8554 TG;PP;;B;
CH 70941655;;;70941655;70941655;Milchgenossenschaft Oberhof;Dorfstrasse34;Milchgenossenschaft Oberhof, Dorfstrasse34, 5062, Switzerland ;5062;5062 AG;CC;;B;
CH 8232;;;8232;70802491;Erich Steiner-Marmet;Obersteg;Erich Steiner-Marmet, Obersteg, 3773, Switzerland ;3773;3773 BE;PP;;B, C, O;
CH 2421;;;2421;69359671;Emmi Schweiz AG  Betrieb Landquart;Mühlestrasse2;Emmi Schweiz AG  Betrieb Landquart, Mühlestrasse2, 7302, Switzerland ;7302;7302 GR;PP;;B;
CH 4410;46,49;6,32;4410;75276329;Société coopérative de fromagerie des Rottières;Ferme de Bocherens;Société coopérative de fromagerie des Rottières, Ferme de Bocherens, 1186, Switzerland ;1186;1186 VD;PP;;B;
CH 4098;;;4098;41996649;Fromagerie de Villargiroud, Jean-Claude Carrel;;;1694;1694 FR;PP;;B;
CH CH71026443;;;CH71026443;71026443;Laiterie;Route Principale65;Laiterie, Route Principale65, 2947, Switzerland ;2947;2947 JU;CC;;B;
CH 8122;46,5183148;8,6196632;8122;43728694;Togni Marco;Via Nante63;Togni Marco, Via Nante63, 6780, Switzerland ;6780;6780 TI;PP;;B;
CH 66202862;47,3614917;8,5135254;66202862;71208543;Chäs & Co Käsehandel GmbH;Grubenstrasse38;Chäs & Co Käsehandel GmbH, Grubenstrasse38, 8045, Switzerland ;8045;8045 ZH;PP;;B, C, O;
CH 7503;;;7503;70747317;Montagnette Fromagerie;Alpage;Montagnette Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 3275;47,0268168;7,6774971;3275;65705931;Milch - Land AG;Mühlegasse11;Milch - Land AG, Mühlegasse11, 3417, Switzerland ;3417;3417 BE;PP;;B, C, O;
CH 6010;;;6010;70215717;Barwengenkassel Martin Herrmann;;;3792;3792 BE;PP;;B, C, O;
CH 5137;47,373415;9,344712;5137;53369922;Emmi Schweiz AG Appenzeller-Schaukäserei;Dorf711;Emmi Schweiz AG Appenzeller-Schaukäserei, Dorf711, 9063, Switzerland ;9063;9063 AR;PP;;B;
CH 53961885;;;53961885;53961885;Société coopérative de laiterie de Lovatens;Chemin de Crasset15;Société coopérative de laiterie de Lovatens, Chemin de Crasset15, 1682, Switzerland ;1682;1682 VD;CC;;B;
CH 5715;46,5523589;9,3234494;5715;67321921;Sennereigenossenschaft Splügen;Bei Brücke;Sennereigenossenschaft Splügen, Bei Brücke, 7435, Switzerland ;7435;7435 GR;PP;;B, C, O;
CH 5367;47,3130447;8,8563612;5367;75857670;Käserei Rüegg GmbH;Neueggstrasse2;Käserei Rüegg GmbH, Neueggstrasse2, 8340, Switzerland ;8340;8340 ZH;PP;;B;
CH 86678589;46,0867424;7,0542335;86678589;86678589;La Fromathèque SA;Route du Grand-Saint-Bernard28;La Fromathèque SA, Route du Grand-Saint-Bernard28, 1921, Switzerland ;1921;1921 VS;PP;;B, C, O;
CH 4201;46,7144617;6,9982027;4201;53298402;Fromagerie Moléson S.A.;Route de Villarsel30;Fromagerie Moléson S.A., Route de Villarsel30, 1694, Switzerland ;1694;1694 FR;PP;RW(0);B, C, O;
CH 73955882;;;73955882;86900338;Caseificio Alba Sàrl en liquidation;Chemin du Vuasset5;Caseificio Alba Sàrl en liquidation, Chemin du Vuasset5, 1028, Switzerland ;1028;1028 VD;PP;RW(0);B;
CH 61168466;46,4702603;7,0855742;61168466;76646513;Société coopérative de laiterie de La Tine;Route de La Tine;Société coopérative de laiterie de La Tine, Route de La Tine, 1658, Switzerland ;1658;1658 VD;CC;;B;
CH 6234;;;6234;70606732;Alpkäserei Galtenebnet Hüttenberg, Bisisthal;;;6463;6463 UR;PP, CC;;B;
CH 5446;47,6042319;8,9099235;5446;40993725;Schloss Herdern;Haldenstrasse1;Schloss Herdern, Haldenstrasse1, 8535, Switzerland ;8535;8535 TG;PP;;B;
