Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 5092;;;5092;50342434;Käserei Lenggenwil AG;Huebstrasse8;Käserei Lenggenwil AG, Huebstrasse8, 9525, Switzerland ;9525;9525 SG;PP;;B;
CH 70960857;;;70960857;70960857;Milchsammelstelle;Burglauenen;Milchsammelstelle, Burglauenen, 3818, Switzerland ;3818;3818 BE;CC;;B;
CH 71993052;;;71993052;71993052;Boggesi Alpe Fieudo;Alpe Fieudo;Boggesi Alpe Fieudo, Alpe Fieudo, 6780, Switzerland ;6780;6780 TI;PP;;B;
CH 3215;;;3215;70789081;Anton Wyss Käserei;Mutten247;Anton Wyss Käserei, Mutten247, 3534, Switzerland ;3534;3534 BE;PP;;B, C, O;
CH 3007;;;3007;63526049;Molki Netstal Milch und Fleisch AG;Landstrasse11;Molki Netstal Milch und Fleisch AG, Landstrasse11, 8754, Switzerland ;8754;8754 GL;CC;;B;
CH 63805522;;;63805522;63805522;Genossenschaft Augstbordkäserei;Käsereistrasse2;Genossenschaft Augstbordkäserei, Käsereistrasse2, 3946, Switzerland ;3946;3946 VS;PP;;B;
CH 3712;;;3712;75620304;Werner Roth;Luzernerstrasse13;Werner Roth, Luzernerstrasse13, 6025, Switzerland ;6025;6025 LU;PP;;B;
CH 51731197;;;51731197;51731197;Wacker und Schwob AG;Walkeweg36;Wacker und Schwob AG, Walkeweg36, 4053, Switzerland ;4053;4053 BS;PP;PP(VI), PP(X);B;
CH 4723;;;4723;50033003;Karl Barmettler;Sidernstrasse3;Karl Barmettler, Sidernstrasse3, 6064, Switzerland ;6064;6064 OW;PP;;B, C, O;
CH 8038;;;8038;70802439;Hanspeter Germann-Schärz Lurnig & Syten Adelbodner Milchprodukte;Jägerweg20;Hanspeter Germann-Schärz Lurnig & Syten Adelbodner Milchprodukte, Jägerweg20, 3715, Switzerland ;3715;3715 BE;PP;;B, C, O;
CH 6074;;;6074;88599579;Fromagerie d'alpage Grosse Orgevalettte;;;1669;1669 FR;PP;;B;
CH 5455;;;5455;66171104;Tannzapfenland Käse AG;Fischingerstrasse4;Tannzapfenland Käse AG, Fischingerstrasse4, 8372, Switzerland ;8372;8372 TG;PP;;B;
CH 60977902;;;60977902;60977902;Milchverwertungsgenossenschaft Amden Milchzentrale;Dorfstrasse35;Milchverwertungsgenossenschaft Amden Milchzentrale, Dorfstrasse35, 8873, Switzerland ;8873;8873 SG;CC;;B;
CH 8124;;;8124;51248351;Livi Giuliano e Fiorenza;;;6875;6875 TI;PP;;B;
CH 3456;;;3456;75596966;Bruno Kaufmann;Oberdorfstrasse5;Bruno Kaufmann, Oberdorfstrasse5, 9607, Switzerland ;9607;9607 SG;PP;;B;
CH 70181691;;;70181691;70181691;Società d'alps e chascharia Sent;;;7554;7554 GR;CC;;B, C, O;
CH 40047828;;;40047828;40047828;Société coopérative de laiterie de Cremières;Chemin de la Buritaz3;Société coopérative de laiterie de Cremières, Chemin de la Buritaz3, 1070, Switzerland ;1070;1070 VD;CC;;B;
CH 349;;;349;41231939;Givaudan Schweiz AG;Ueberlandstrasse138;Givaudan Schweiz AG, Ueberlandstrasse138, 8600, Switzerland ;8600;8600 ZH;PP;PP(VI), PP(VIII), PP(X), PP(XII), PP(XIV);B, C, O;
CH 70973882;;;70973882;70973882;Milchsammelstelle;;;3781;3781 BE;CC;;B;
CH 4699;;;4699;66172349;Schaukäserei Kloster Engelberg AG;Klosterhof1;Schaukäserei Kloster Engelberg AG, Klosterhof1, 6390, Switzerland ;6390;6390 OW;PP, CC;;B;
CH 2075;;;2075;53307821;InterCheese AG;Industriestrasse22;InterCheese AG, Industriestrasse22, 6215, Switzerland ;6215;6215 LU;PP;RW(0);B, C, O;
CH 4685;;;4685;76691390;Hans Rölli, Käserei;Langentannen;Hans Rölli, Käserei, Langentannen, 6374, Switzerland ;6374;6374 NW;PP, CC;;B;
CH 70555465;;;70555465;70555465;Milchzentrale Ennetbuel;Dorf1341;Milchzentrale Ennetbuel, Dorf1341, 9651, Switzerland ;9651;9651 SG;CC;;B;
CH 3083;;;3083;75976005;Käsereigenossenschaft Borisried;Flüh176;Käsereigenossenschaft Borisried, Flüh176, 3096, Switzerland ;3096;3096 BE;PP;;B, C, O;
CH 5051;;;5051;41096381;Käserei Wiesental;Lindenstrasse7;Käserei Wiesental, Lindenstrasse7, 9204, Switzerland ;9204;9204 SG;PP;;B;
CH 4142;;;4142;46293020;Laiterie du Mouret;Route de la Gruyère6;Laiterie du Mouret, Route de la Gruyère6, 1724, Switzerland ;1724;1724 FR;PP;;B;
CH 84882131;;;84882131;84882131;Donald Nessi;;;6742;6742 TI;PP;;B, C;
CH 6218;;;6218;70750021;Les Chargiaux Fromagerie;Alpage;Les Chargiaux Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 4135;;;4135;61294856;Fromagerie de Cottens;Route du Centre19;Fromagerie de Cottens, Route du Centre19, 1741, Switzerland ;1741;1741 FR;PP;;B;
CH 3345;;;3345;41979926;Käserei Alterswil  Christian Wenger;Hauptstrasse74;Käserei Alterswil  Christian Wenger, Hauptstrasse74, 1715, Switzerland ;1715;1715 FR;PP;;B, C;
CH 3649;;;3649;66104155;Biosphäre Bergkäserei AG;Landbrügg2;Biosphäre Bergkäserei AG, Landbrügg2, 6170, Switzerland ;6170;6170 LU;PP;;B, C;
CH 7496;;;7496;70751753;Pra-Cluen;Alpage;Pra-Cluen, Alpage, 1659, Switzerland ;1659;1659 VD;PP;;B;
CH 7504;;;7504;70216553;Antheines-Dessous Fromagerie;;;1660;1660 VD;PP;;B;
CH 40889365;;;40889365;40889365;Milchsammelstelle Hinterhaslen;Hinterhaslen11;Milchsammelstelle Hinterhaslen, Hinterhaslen11, 9054, Switzerland ;9054;9054 AI;CC;;B;
CH 63700417;;;63700417;63700417;Sammelstelle Kalchstätten;Kalchstätten;Sammelstelle Kalchstätten, Kalchstätten, 3158, Switzerland ;3158;3158 BE;CC;;B;
CH 2430;;;2430;64592514;LRG Groupe SA;Chemin des Aulx6;LRG Groupe SA, Chemin des Aulx6, 1228, Switzerland ;1228;1228 GE;PP;;B;
CH 63706335;;;63706335;63706335;Milchsammelstelle Wolfwil;Hauptstrasse32;Milchsammelstelle Wolfwil, Hauptstrasse32, 4628, Switzerland ;4628;4628 SO;CC;;B;
CH 63348797;;;63348797;63348797;Local de coulage;;;1891;1891 VS;CC;;B;
CH 70087806;;;70087806;70087806;Centre de collecteur de Vauderens;Route de Blessens9;Centre de collecteur de Vauderens, Route de Blessens9, 1675, Switzerland ;1675;1675 FR;CC;;B;
CH 41469371;;;41469371;41469371;Milchsammelstelle;Hattige10;Milchsammelstelle, Hattige10, 3636, Switzerland ;3636;3636 BE;CC;;B;
CH 216;;;216;52056223;Hügli Nährmittel AG;Bleichestrasse31;Hügli Nährmittel AG, Bleichestrasse31, 9323, Switzerland ;9323;9323 SG;PP;CS(0), RW(0), PP(VI), PP(VIII), PP(X), PP(XII), PP(XIV), PP(XV);B;
CH 2163;;;2163;70654799;Burger Käse AG in Liquidation;Rotzbergstrasse1;Burger Käse AG in Liquidation, Rotzbergstrasse1, 6372, Switzerland ;6372;6372 NW;PP;;B;
CH 5000;;;5000;52439489;Bildungs- u. Kulturdirektion Uri Berufs- und Weiterbildungszentrum Uri Bauernschule Uri;A Pro-Strasse44;Bildungs- u. Kulturdirektion Uri Berufs- und Weiterbildungszentrum Uri Bauernschule Uri, A Pro-Strasse44, 6462, Switzerland ;6462;6462 UR;PP;;B, C, O;
CH 79432494;;;79432494;79432494;Milchsammelstelle Birgisch-Birchegga;Stockji;Milchsammelstelle Birgisch-Birchegga, Stockji, 3904, Switzerland ;3904;3904 VS;CC;;B;
CH 3178;;;3178;41451594;Erich Thomet;Bach1;Erich Thomet, Bach1, 3096, Switzerland ;3096;3096 BE;PP;;B, C, O;
CH 41058962;;;41058962;41058962;Arcari Backwaren AG;Industriestrasse5;Arcari Backwaren AG, Industriestrasse5, 5604, Switzerland ;5604;5604 AG;PP;PP(VI);B;
CH 6204;;;6204;70852618;Alpage La Rite;Alpage;Alpage La Rite, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 71993508;;;71993508;71993508;Boggesi del Lucomagno Caseificio Alpe Pian Segno;Pian Segno;Boggesi del Lucomagno Caseificio Alpe Pian Segno, Pian Segno, 6718, Switzerland ;6718;6718 TI;PP;;B;
CH 70976380;;;70976380;70976380;Milchsammelstelle;Dörfli;Milchsammelstelle, Dörfli, 3765, Switzerland ;3765;3765 BE;CC;;B;
CH 6207;;;6207;70728424;Alex Oppliger-Joliquin;Pierre Feu;Alex Oppliger-Joliquin, Pierre Feu, 2607, Switzerland ;2607;2607 BE;PP;;B, C, O;
CH 71483545;;;71483545;71483545;Alpprodukte Pragel / Bödmeren Genossenschaft;Mittst Weid;Alpprodukte Pragel / Bödmeren Genossenschaft, Mittst Weid, 6436, Switzerland ;6436;6436 SZ;PP;;B;
CH 2010;;;2010;74973610;Genossenschaft Urner Alpkäse- Produzenten;Kornmattstrasse16;Genossenschaft Urner Alpkäse- Produzenten, Kornmattstrasse16, 6460, Switzerland ;6460;6460 UR;PP;;B;
CH 81900692;;;81900692;81900692;Angelo Lombardi;Alpe Sorescia;Angelo Lombardi, Alpe Sorescia, 6780, Switzerland ;6780;6780 TI;PP;;B;
CH 4215;;;4215;68086939;Fromagerie du Cerneux-Péquignot, O. Baudois;Village7;Fromagerie du Cerneux-Péquignot, O. Baudois, Village7, 2414, Switzerland ;2414;2414 NE;PP, CC;;B;
CH 2410;;;2410;42433256;Emmi Schweiz AG, Frischprodukte, Betrieb Emmen;Seetalstrasse200;Emmi Schweiz AG, Frischprodukte, Betrieb Emmen, Seetalstrasse200, 6032, Switzerland ;6032;6032 LU;PP;;B;
CH 5704;;;5704;76719501;Chascharia Val Müstair;;;7537;7537 GR;PP;;B, C, O;
CH 7492;;;7492;70747694;Rodomont-Derrière;Alpage;Rodomont-Derrière, Alpage, 1659, Switzerland ;1659;1659 VD;PP;;B;
CH 62062971;;;62062971;62062971;PELLAUD-BOURBAN Sàrl;Route de Nendaz875;PELLAUD-BOURBAN Sàrl, Route de Nendaz875, 1997, Switzerland ;1997;1997 VS;PP;;B, C, O;
CH 3513;;;3513;69465803;Ch. Gerber;;;9217;9217 TG;PP;;B;
CH 5097;;;5097;42561769;Käserei Nietlispach AG;Vorderhof39;Käserei Nietlispach AG, Vorderhof39, 9033, Switzerland ;9033;9033 SG;PP;;B;
CH 6018;;;6018;70728403;Alpwirtschaft Suld Latreyen;;;3703;3703 BE;PP;;B, C, O;
CH 3396;;;3396;68575954;Käserei Rüegg;Walderstrasse4;Käserei Rüegg, Walderstrasse4, 8340, Switzerland ;8340;8340 ZH;PP;;B;
CH 70937685;;;70937685;70937685;Josef Lussi-Scheuber;;;6370;6370 NW;CC;;B;
CH 6160;;;6160;70216490;Le Cerney;Alpage;Le Cerney, Alpage, 1348, Switzerland ;1348;1348 VD;PP;;B;
CH 4089;;;4089;72486909;SCHMOUTZ Nicolas, Fromagerie régionale de Mézières et environs;Route de Villariaz1;SCHMOUTZ Nicolas, Fromagerie régionale de Mézières et environs, Route de Villariaz1, 1684, Switzerland ;1684;1684 FR;PP, CC;;B;
CH 73196770;;;73196770;73196770;Alpkäserei Lipplisbüel;Plattenbach;Alpkäserei Lipplisbüel, Plattenbach, 6436, Switzerland ;6436;6436 SZ;PP;;B, C;
CH 5824;;;5824;62089313;Bossi Emilio e Leila;;;6775;6775 TI;PP;;B, C;
CH 6211;;;6211;70606816;Alpkäserei Untertrübsee Scheuber Thomas;Untertrübsee;Alpkäserei Untertrübsee Scheuber Thomas, Untertrübsee, 6390, Switzerland ;6390;6390 NW;PP;;B;
CH 3252;;;3252;70789432;Samuel Bieri;Dorf158;Samuel Bieri, Dorf158, 3635, Switzerland ;3635;3635 BE;PP;;B, C, O;
CH 5894;;;5894;65481710;Sprenger Fine Foods AG;Birnstielstrasse5;Sprenger Fine Foods AG, Birnstielstrasse5, 9225, Switzerland ;9225;9225 TG;PP;;B;
CH 42490013;;;42490013;42490013;Milchsammelstelle Uznach;Ernetschwilerstrasse;Milchsammelstelle Uznach, Ernetschwilerstrasse, 8730, Switzerland ;8730;8730 SG;CC;;B;
CH 2026;;;2026;75315559;Milka Käse AG Burgdorf Käsehandel;Buchmattstrasse15;Milka Käse AG Burgdorf Käsehandel, Buchmattstrasse15, 3400, Switzerland ;3400;3400 BE;PP;RW(0), WM(0);B, C, O;
CH 65957625;;;65957625;65957625;Bruno's Best AG;Kägiswilerstrasse35;Bruno's Best AG, Kägiswilerstrasse35, 6060, Switzerland ;6060;6060 OW;PP;RW(0), PP(X);B;
CH 83401666;;;83401666;83401666;Milchmanufaktur Einsiedeln AG;Alpstrasse6;Milchmanufaktur Einsiedeln AG, Alpstrasse6, 8840, Switzerland ;8840;8840 SZ;PP;;B;
CH 46443024;;;46443024;46443024;Nikki Trading Ltd;Chemin des Terrasses 32;Nikki Trading Ltd, Chemin des Terrasses 32, 1095, Switzerland ;1095;1095 VD;PP, CC;CS(0), RW(0), WM(0), PP(XIII);B;
CH 2037;;;2037;67894423;ALIBONA AG;Amriswilerstrasse80;ALIBONA AG, Amriswilerstrasse80, 9314, Switzerland ;9314;9314 TG;PP;;B;
CH 4401;;;4401;76446676;Société coopérative de fromagerie ''les Trois villages'';Rue du Prin;Société coopérative de fromagerie ''les Trois villages'', Rue du Prin, 1536, Switzerland ;1536;1536 VD;PP;;B;
CH 3259;;;3259;66875382;Dorfkäserei Dürrenroth Urs & Ursula Kämpfer;Dorfstrasse6;Dorfkäserei Dürrenroth Urs & Ursula Kämpfer, Dorfstrasse6, 3465, Switzerland ;3465;3465 BE;PP;;B, C, O;
CH 83598039;;;83598039;83598039;Alpkäserei Untersten Wang;;;8751;8751 UR;PP;;B;
CH 5771;;;5771;75597577;Käserei Stofel AG Käserei;Stofel;Käserei Stofel AG Käserei, Stofel, 9657, Switzerland ;9657;9657 SG;PP;;B, C, O;
CH 5826;;;5826;76886641;Caseificio dimostrativo del Gottardo SA;;;6780;6780 TI;PP;RW(0), WM(0);B, C, O;
CH 6229;;;6229;75081764;Arnischwand Urs Müller Alpkäserei;;;6074;6074 OW;PP;;B, C, O;
CH 3540;;;3540;50181439;Käserei Neuenschwander AG;Käsereistrasse11;Käserei Neuenschwander AG, Käsereistrasse11, 8594, Switzerland ;8594;8594 TG;PP;;B;
CH 83803154;;;83803154;83803154;Alpage la Duchatte;;;1346;1346 VD;PP;;B;
CH 4701;;;4701;74004171;Flüeler Milch und Käsespezialitäten;Grunderbergstrasse7;Flüeler Milch und Käsespezialitäten, Grunderbergstrasse7, 6055, Switzerland ;6055;6055 OW;PP;RW(0), WM(0);B, C;
CH 68343387;;;68343387;68343387;Milchsammelstelle Betzikon;Rickenstrasse25;Milchsammelstelle Betzikon, Rickenstrasse25, 8735, Switzerland ;8735;8735 SG;CC;;B;
CH 4707;;;4707;41841679;Käserei Windlin AG;Untergass2;Käserei Windlin AG, Untergass2, 6074, Switzerland ;6074;6074 OW;PP;;B;
CH 4155;;;4155;62911223;Roland Pittet;Impasse du Marteray2;Roland Pittet, Impasse du Marteray2, 1699, Switzerland ;1699;1699 FR;PP;;B;
CH 3073;;;3073;76604749;Käsereigenossenschaft Melchnau;Dorfstrasse49;Käsereigenossenschaft Melchnau, Dorfstrasse49, 4917, Switzerland ;4917;4917 BE;PP;;B, C, O;
CH 8265;;;8265;44157614;Hümbelin-Zimmerli Martin;Gitziberg22;Hümbelin-Zimmerli Martin, Gitziberg22, 4655, Switzerland ;4655;4655 SO;PP;;B;
CH 6199;;;6199;70751837;La Gisienne;Alpage;La Gisienne, Alpage, 1659, Switzerland ;1659;1659 VD;PP;;B;
CH 44306441;;;44306441;89461155;Theler Adrian;Fallfluhweg12;Theler Adrian, Fallfluhweg12, 3952, Switzerland ;3952;3952 VS;CC;;B;
CH 2057;;;2057;73042799;Fromage Sciboz et Fils SA;Route du Crochet2;Fromage Sciboz et Fils SA, Route du Crochet2, 1762, Switzerland ;1762;1762 FR;PP;RW(0);B;
CH 5744;;;5744;73177359;Glarner Milch AG;Ygrubenstrasse14;Glarner Milch AG, Ygrubenstrasse14, 8750, Switzerland ;8750;8750 GL;PP;;B;
CH 4131;;;4131;86001933;José Jaquet;Route d'Autigny12;José Jaquet, Route d'Autigny12, 1744, Switzerland ;1744;1744 FR;PP;;B;
CH 4108;;;4108;73131354;Pasquier Frédéric Fromagerie d'Echarlens;Au Village160;Pasquier Frédéric Fromagerie d'Echarlens, Au Village160, 1646, Switzerland ;1646;1646 FR;PP;;B;
CH 70975696;;;70975696;70975696;Milchsammelstelle;Bahnhofplatz;Milchsammelstelle, Bahnhofplatz, 3763, Switzerland ;3763;3763 BE;CC;;B;
CH 4112;;;4112;45732185;Raemy Damien;Route de la Gruyère115;Raemy Damien, Route de la Gruyère115, 1648, Switzerland ;1648;1648 FR;PP;;B;
CH 4157;;;4157;41953048;Fromagerie Le Crêt Jean-Marie Dunand;;;1611;1611 FR;PP;;B;
CH 2062;;;2062;60026771;Sennerei Grund AG;Grundgasse2;Sennerei Grund AG, Grundgasse2, 6460, Switzerland ;6460;6460 UR;PP;;B;
CH 71009830;;;71009830;71009830;Milchsammelstelle;Neuegg7;Milchsammelstelle, Neuegg7, 3454, Switzerland ;3454;3454 BE;CC;;B;
CH 67613482;;;67613482;67613482;Gate Gourmet Switzerland GmbH;Balz-Zimmermannstrasse7;Gate Gourmet Switzerland GmbH, Balz-Zimmermannstrasse7, 8302, Switzerland ;8302;8302 ZH;PP;PP(VI), PP(VIII), PP(X);B, C, O;
CH 3218;;;3218;45080188;Berg-Käserei Oberei;Oberei313;Berg-Käserei Oberei, Oberei313, 3618, Switzerland ;3618;3618 BE;PP;;B, C, O;
CH 2132;;;2132;51989872;Chäs Vreneli AG;Münsterhof7;Chäs Vreneli AG, Münsterhof7, 8001, Switzerland ;8001;8001 ZH;PP;;B, C, O;
CH 5714;;;5714;63586320;Mario Albin Cascharia Lumrein;Vigella102;Mario Albin Cascharia Lumrein, Vigella102, 7148, Switzerland ;7148;7148 GR;PP, CC;;B, C;
CH 60665690;;;60665690;60665690;Milchgenossenschaft Churwalden-Parpan;Hauptstrasse74;Milchgenossenschaft Churwalden-Parpan, Hauptstrasse74, 7075, Switzerland ;7075;7075 GR;CC;;C;
CH 4060;;;4060;40742595;Hanspeter Wälchli Fromagerie;Rue du Franc-Alleu22;Hanspeter Wälchli Fromagerie, Rue du Franc-Alleu22, 2523, Switzerland ;2523;2523 NE;PP, CC;;B;
CH 6305;;;6305;70216679;Alp Tesel Hanspeter Schöb  Tüüfi;;;9658;9658 SG;PP;;B;
CH 8234;;;8234;70802444;Daniel Schwarz;Ortbühlweg63;Daniel Schwarz, Ortbühlweg63, 3612, Switzerland ;3612;3612 BE;PP;;B, C, O;
CH 5117;;;5117;72665788;Käserei Sax, Bernhard Gehri;Käsereistrasse1;Käserei Sax, Bernhard Gehri, Käsereistrasse1, 9468, Switzerland ;9468;9468 SG;PP;;B;
CH 40864795;;;40864795;40864795;Società cooperativa Caseificio Valposchiavo;Ligleri;Società cooperativa Caseificio Valposchiavo, Ligleri, 7741, Switzerland ;7741;7741 GR;PP, CC;;B, C, O;
CH 3236;;;3236;78248692;Beat Kipfer Käserei Amsoldingen;Hurschgasse7;Beat Kipfer Käserei Amsoldingen, Hurschgasse7, 3633, Switzerland ;3633;3633 BE;PP;;B, C, O;
CH 3643;;;3643;77066140;Spezialitätenkäserei Doppleschwand AG in Liquidation;Wolhuserstrasse2;Spezialitätenkäserei Doppleschwand AG in Liquidation, Wolhuserstrasse2, 6112, Switzerland ;6112;6112 LU;PP;;B;
CH 70930229;;;70930229;70930229;Milchsammelstelle Deitingen;Käsereistrasse5;Milchsammelstelle Deitingen, Käsereistrasse5, 4543, Switzerland ;4543;4543 SO;CC;;B;
CH 54023042;;;54023042;54023042;Milchsammelstelle Schoried;Schoriederstrasse20;Milchsammelstelle Schoried, Schoriederstrasse20, 6055, Switzerland ;6055;6055 OW;CC;;B;
CH 77831680;;;77831680;77831680;swissmooh AG;Archstrasse2;swissmooh AG, Archstrasse2, 8400, Switzerland ;8400;8400 ZH;PP;;B;
CH 6004;;;6004;70728623;Sulsalp;;;3822;3822 BE;PP;;B, C, O;
CH CH71026176;;;CH71026176;71026176;Laiterie;Au Village17;Laiterie, Au Village17, 2855, Switzerland ;2855;2855 JU;CC;;B;
CH 71992860;;;71992860;71992860;Michele Arcioni;Bosco Gurin;Michele Arcioni, Bosco Gurin, 6685, Switzerland ;6685;6685 TI;PP;;B, C;
CH 71012042;;;71012042;71012042;Milchsammelstelle Milchhüsi;Bahnhofstrasse2;Milchsammelstelle Milchhüsi, Bahnhofstrasse2, 3512, Switzerland ;3512;3512 BE;CC;;B;
CH 74595594;;;74595594;74595594;Milchsammelstelle IG Tankmilch;Täliweg23;Milchsammelstelle IG Tankmilch, Täliweg23, 8887, Switzerland ;8887;8887 SG;CC;;B;
CH 8042;;;8042;70802397;Urs Preisig;Altwyden23;Urs Preisig, Altwyden23, 3427, Switzerland ;3427;3427 BE;PP;;B, C, O;
CH 3735;;;3735;75280587;Käsereigenossenschaft Winikon in Liquidation;;;6235;6235 LU;PP;;B;
CH 6198;;;6198;70606774;Arnold Bucher-Amschwand;Tannalp1;Arnold Bucher-Amschwand, Tannalp1, 6068, Switzerland ;6068;6068 OW;PP;;B;
CH 71067523;;;71067523;71067523;Josef Bissig-Infanger;Oberalp;Josef Bissig-Infanger, Oberalp, 6461, Switzerland ;6461;6461 UR;PP;;B;
CH 63976520;;;63976520;63976520;Milchsammelstelle Kaufdorf;Moosstrasse44;Milchsammelstelle Kaufdorf, Moosstrasse44, 3126, Switzerland ;3126;3126 BE;CC;;B;
CH 3297;;;3297;61478403;Käserei Milchkanne Kerzers,  Gérald Pittet;Vordere Gasse15;Käserei Milchkanne Kerzers,  Gérald Pittet, Vordere Gasse15, 3210, Switzerland ;3210;3210 FR;PP;;B;
CH 7501;;;7501;70751224;La Perrette Fromagerie;Alpage;La Perrette Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 2402;;;2402;74711929;Emmi Fondue AG Schmelzkäseproduktion;Bahnhofstrasse32;Emmi Fondue AG Schmelzkäseproduktion, Bahnhofstrasse32, 3550, Switzerland ;3550;3550 BE;PP;RW(0);B, C, O;
CH 71024273;;;71024273;71024273;Centre collecteur de Grandsivaz FR;Route de Fribourg104;Centre collecteur de Grandsivaz FR, Route de Fribourg104, 1775, Switzerland ;1775;1775 FR;CC;;B;
CH 74569091;;;74569091;74569091;Milchgenossenschaft Murg;Bluemboden;Milchgenossenschaft Murg, Bluemboden, 8877, Switzerland ;8877;8877 SG;CC;;B;
CH 63411197;;;63411197;63411197;Salaisons d'Anniveres;;;3961;3961 VS;PP;;B;
CH 4096;;;4096;63653296;Blaise Sallin Fromagerie & Laiterie;Route du Bugnon92;Blaise Sallin Fromagerie & Laiterie, Route du Bugnon92, 1679, Switzerland ;1679;1679 FR;PP;;B;
CH 71994145;;;71994145;71994145;Dafne Gianettoni;Alpe Vogornesso;Dafne Gianettoni, Alpe Vogornesso, 6637, Switzerland ;6637;6637 TI;PP;;B;
CH 4145;;;4145;70257738;Laiterie de Ponthaux, Charrière Jean-Philippe;Route du Village13;Laiterie de Ponthaux, Charrière Jean-Philippe, Route du Village13, 1772, Switzerland ;1772;1772 FR;PP;;B;
CH 5136;;;5136;40872508;Appenzellerkäserei Steiner;Egg57;Appenzellerkäserei Steiner, Egg57, 9103, Switzerland ;9103;9103 AR;PP;;B;
CH 4392;;;4392;80644534;Fromagerie David Dumas;Route de Bulle3;Fromagerie David Dumas, Route de Bulle3, 1608, Switzerland ;1608;1608 VD;PP;;B;
CH 70941608;;;70941608;70941608;Milchgenossenschaft Muhen;Hauptstrasse46;Milchgenossenschaft Muhen, Hauptstrasse46, 5037, Switzerland ;5037;5037 AG;CC;;B;
CH 50276504;;;50276504;50276504;Milchsammelstelle Frutigen & Umgebung;Falkenstrasse6;Milchsammelstelle Frutigen & Umgebung, Falkenstrasse6, 3714, Switzerland ;3714;3714 BE;CC;;B;
CH 70564103;;;70564103;70564103;Milchsammelstelle Rüti;Rütistrasse;Milchsammelstelle Rüti, Rütistrasse, 9030, Switzerland ;9030;9030 SG;CC;;B;
CH 4079;;;4079;64854374;Fromagerie d'En Bas Raphaël Papaux;Route du Bourga5;Fromagerie d'En Bas Raphaël Papaux, Route du Bourga5, 1689, Switzerland ;1689;1689 FR;PP;;B;
CH 6213;;;6213;70802863;Daniel Bühler-Oppliger;;;2608;2608 BE;PP;;B, C, O;
CH 5639;;;5639;64169652;Inforama Berner Oberland;;;3702;3702 BE;PP;;B, C, O;
CH 70977321;;;70977321;70977321;Milchsammelstelle;Leinbützen1;Milchsammelstelle, Leinbützen1, 3418, Switzerland ;3418;3418 BE;CC;;B;
CH 6303;;;6303;71530142;Alpkäserei Malschüel Ortsgemeinde Sevelen Herr Senn Christian;Malschüel;Alpkäserei Malschüel Ortsgemeinde Sevelen Herr Senn Christian, Malschüel, 9470, Switzerland ;9470;9470 SG;PP;;C;
CH 5629;;;5629;80839806;Fromagerie Villeret SA;Rue Principale22;Fromagerie Villeret SA, Rue Principale22, 2613, Switzerland ;2613;2613 BE;PP;;B, C, O;
CH 74569128;;;74569128;74569128;Milchsammelstelle Nassen;Nassenstrasse10;Milchsammelstelle Nassen, Nassenstrasse10, 9123, Switzerland ;9123;9123 SG;CC;;B;
CH 2418;;;2418;52031318;GESKA AG;Ygrubenstrasse14;GESKA AG, Ygrubenstrasse14, 8750, Switzerland ;8750;8750 GL;PP;;B;
CH 5745;;;5745;66184543;Regio Molkerei beider Basel AG;Flachsackerstrasse100;Regio Molkerei beider Basel AG, Flachsackerstrasse100, 4402, Switzerland ;4402;4402 BL;PP;;B;
CH 3758;;;3758;41694566;Genossenschaft Regio Chäsi Willisau Käserei Kottwil;Gishalde2;Genossenschaft Regio Chäsi Willisau Käserei Kottwil, Gishalde2, 6217, Switzerland ;6217;6217 LU;PP;;B;
CH 4658;;;4658;55379970;Entlebucher Spezialitäten Käserei AG;Chlusbode12;Entlebucher Spezialitäten Käserei AG, Chlusbode12, 6170, Switzerland ;6170;6170 LU;PP, CC;;B, C;
CH 40607242;;;40607242;40607242;Laiterie Nouvelle;Chemin de Bayard18;Laiterie Nouvelle, Chemin de Bayard18, 1948, Switzerland ;1948;1948 VS;PP;;B;
CH 3739;;;3739;53435653;Käsereigenossenschaft Bodenberg;Bodenberg2;Käsereigenossenschaft Bodenberg, Bodenberg2, 6144, Switzerland ;6144;6144 LU;PP;;B;
CH 70996717;;;70996717;70996717;Milchsammelstelle;Türli;Milchsammelstelle, Türli, 3722, Switzerland ;3722;3722 BE;CC;;B;
CH 71067607;;;71067607;71067607;Hans jun. Zurfluh;Surenen;Hans jun. Zurfluh, Surenen, 6468, Switzerland ;6468;6468 UR;PP;;B;
CH 6219;;;6219;70747364;L'Haut Pateri Fromagerie;Alpage;L'Haut Pateri Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 6097;;;6097;77671909;Braunwaldalp Alp Unterstafel;;;8784;8784 GL;PP;;B;
CH 77851430;;;77851430;77851430;Milchsammelstelle Schäfli;Tüfi335;Milchsammelstelle Schäfli, Tüfi335, 9105, Switzerland ;9105;9105 AR;CC;;B;
