Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
36-301P	Aušra Ratkevičienė	Biržų raj.	Daudžgirių k., Širvėnos sen., Biržų r.	The producer of small quantities,	domestic trade	Daudžgirių k., Širvėnos sen., Biržų r. , Biržų raj. , Lithuania	56,1391599	24,6657269
36-302P	Alvidas Čygas	Biržų raj.	Kočėnų k., N.Radviliškio sen., Biržų r.	The producer of small quantities,	domestic trade	Kočėnų k., N.Radviliškio sen., Biržų r. , Biržų raj. , Lithuania	55,7974594	23,4951703
36-304P	Milda Kutrienė	Biržų raj.	Obelaukių k., Širvėnos sen., Biržų r.	The producer of small quantities,	domestic trade	Obelaukių k., Širvėnos sen., Biržų r. , Biržų raj. , Lithuania	56,194982	24,83628
36-305P	Violetos Gerdvilienės pieno ūkis	Biržų raj.	Kratiškių k., Širvėnos sen., Biržų r.	The producer of small quantities,	domestic trade	Kratiškių k., Širvėnos sen., Biržų r. , Biržų raj. , Lithuania	56,1044459	24,7169509
36-308P	Birutės Lukoševičienės pieno ūkis	Biržų raj.	Gražiškių k., Parovėjos sen., Biržų r.	The producer of small quantities,	domestic trade	Gražiškių k., Parovėjos sen., Biržų r. , Biržų raj. , Lithuania	56,2006316	24,7572513
36-309P	Elzės Budriūnienės pieno ūkis	Biržų raj.	Žvejotgalos k., Biržų r.	The producer of small quantities,	domestic trade	Žvejotgalos k., Biržų r. , Biržų raj. , Lithuania		
36-310P	Jūrio Milišiūno avių pieno ūkis	Biržų raj.	Dvargalių k., Pačeriaukštės s., Biržų r.	The producer of small quantities, PP	domestic trade	Dvargalių k., Pačeriaukštės s., Biržų r. , Biržų raj. , Lithuania	56,264753	24,609886
36-311 P	Edmundas Styra	Biržų raj.	Senoji g. 11, Kučgalys, Biržų r.	The producer of small quantities,	domestic trade	Senoji g. 11, Kučgalys, Biržų r. , Biržų raj. , Lithuania	56,0759356	25,0741422
36-400P	"Kooperatyvas ""Pienininkai"" Vabalninko pieno supirkimo punktas"	Biržų raj.	Biržų r., Vabalninkas	Milk collection point,	 EU	Biržų r., Vabalninkas , Biržų raj. , Lithuania	55,979422	24,750635
36-401P	"Kooperatyvas ""Pienininkai"" Dirvonakių pieno supirkimo punktas"	Biržų raj.	Biržų r., Dirvonakių k.	Milk collection point,	 EU	Biržų r., Dirvonakių k. , Biržų raj. , Lithuania	56,152733	24,7788799
36-403P	"UAB ""Muštuvis"" KLirdonių pieno supirkimo punktas"	Biržų raj.	Biržų r., Kirdonių k.	Milk collection point,	 EU	Biržų r., Kirdonių k. , Biržų raj. , Lithuania	56,1725639	24,5889251
36-405P	"Kooperatyvas ""Pienininkai"" Užušilių pieno supirkimo punktas"	Biržų raj.	Biržų r., Užušilių k.	Milk collection point,	 EU	Biržų r., Užušilių k. , Biržų raj. , Lithuania	56,3167433	24,7991306
36-407 P	"UAB ""Muštuvis"" Nausėdžių pieno supirkimo punktas"	Biržų raj.	Liepų g. 21, Nausėdžių k., Biržų r.	Milk collection point,	 EU	Liepų g. 21, Nausėdžių k., Biržų r. , Biržų raj. , Lithuania	56,20502	24,753232
36-409P	UAB Biržų pienas- Parovėjos pieno supirkimo punktas	Biržų raj.	Pušynėlio 10, Parovėjos k., Biržų r.	Milk collection point, MCP	 EU	Pušynėlio 10, Parovėjos k., Biržų r. , Biržų raj. , Lithuania	56,246324	24,8578784
36-410P	"UAB ""Muštuvis"" Liesiškių pieno supirkimo punktas"	Biržų raj.	Biržų r., Parovėjos sen., Liesiškių k.	Milk collection point, MCP	 EU	Biržų r., Parovėjos sen., Liesiškių k. , Biržų raj. , Lithuania	56,2017719	24,7560118
38-009P	"KB ""Lietuviškas pienelis"" Perlojos p.s.p."	Varėnos raj.	Perlojos k., Varėvos sen., Varėnos r.	Milk collection point,	 EU	Perlojos k., Varėvos sen., Varėnos r. , Varėnos raj. , Lithuania	54,2168226	24,4183762
38-01 P	"UAB ""Varėnos pienelis"""	Varėnos raj.	Basanavičiaus g. 52, Varėna	Milk establishments, PP;fmp	 EU	Basanavičiaus g. 52, Varėna , Varėnos raj. , Lithuania	54,21903	24,5795786
