Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
81-04	Ūkininko D. Čepelio ūkis	Ukmergės raj.	Baublių k., Vidiškių sen.	Meat, SH, P	 EU	Baublių k., Vidiškių sen. , Ukmergės raj. , Lithuania	55,303493	24,7643391
81-051P	Pieno upės UAB Kultuvėnų p.s.p	Ukmergės raj.	Kultuvėnų k.,Veprių sen.	Milk collection point,	 EU	Kultuvėnų k.,Veprių sen. , Ukmergės raj. , Lithuania	55,1430514	24,6017818
81-054P	Rečionių k.,Vidiškių sen.	Ukmergės raj.	Rečionių k.,Vidiškių sen.	Milk collection point,	 EU	Rečionių k.,Vidiškių sen. , Ukmergės raj. , Lithuania	55,3120862	24,7865021
81-07	Ūkininko Algio Bukausko gyvulių skerdykla	Ukmergės raj.	Alionių k. Pivonijos sen.	Meat, SH,B,P;CP;MM,MP	 EU	Alionių k. Pivonijos sen. , Ukmergės raj. , Lithuania	55,1824059	24,8649609
81-076P	"AB ""Rokiškio sūris""Ukmergės paruošų sk., Vileikių p.s.p p.s.p."	Ukmergės raj.	Vileikų k., Pivonijos sen.Ukmergės r.sav	Milk collection point,	 EU	Vileikų k., Pivonijos sen.Ukmergės r.sav , Ukmergės raj. , Lithuania	55,1847867	24,8446681
81-081P	Sodžiai ŽŪK , Laumėnai p.s.p	Ukmergės raj.	Laumėnų k., Želvos sen.	Milk collection point,	 EU	Laumėnų k., Želvos sen. , Ukmergės raj. , Lithuania	55,1841089	25,145731
81-083P	Sodžiai ŽŪK , Želvos p.s.p	Ukmergės raj.	Želvos mstl., Želvos sen.	Milk collection point,	 EU	Želvos mstl., Želvos sen. , Ukmergės raj. , Lithuania	55,2186369	25,1004961
81-084P	Sodžiai ŽŪK ,Šešuolių p.s.p	Ukmergės raj.	Šešuolių mstl. Šešuolių	Milk collection point,	 EU	Šešuolių mstl. Šešuolių , Ukmergės raj. , Lithuania	55,1775299	24,970136
81-087P	Žalioji lanka KB, Dainavos p.s.p	Ukmergės raj.	Dainavosk.,Deltuvos sen.	Milk collection point,	 EU	Dainavosk.,Deltuvos sen. , Ukmergės raj. , Lithuania	55,199821	24,6509081
81-089P	"UAB ""Muštuvis"",Liaušių p.s.p"	Ukmergės raj.	Liaušių k., Šešuolių	Milk collection point,	 EU	Liaušių k., Šešuolių , Ukmergės raj. , Lithuania	55,213791	24,991314
81-090P	Sodžiai ŽŪK , Jakutiškių p.s.p	Ukmergės raj.	Jakutiškių k., Ukmergės r.sav.	Milk collection point,	 EU	Jakutiškių k., Ukmergės r.sav. , Ukmergės raj. , Lithuania	55,2235479	24,584939
81-091P	Žalioji lanka KB, Valų p.s.p	Ukmergės raj.	Valųk.,Žemaitkiemio sen.	Milk collection point,	 EU	Valųk.,Žemaitkiemio sen. , Ukmergės raj. , Lithuania	55,2939282	24,9935226
81-092P	Pieno puta ŽŪK , Lėno p.s.p	Ukmergės raj.	Lėno k.,Taujėnų sen.	Milk collection point,	 EU	Lėno k.,Taujėnų sen. , Ukmergės raj. , Lithuania	55,428239	24,5904429
81-101P	Viliaus Buroko ūkis	Ukmergės raj.	Atkočių k., Deltuvos sen.	The producer of small quantities,	domestic trade	Atkočių k., Deltuvos sen. , Ukmergės raj. , Lithuania	55,25389	24,5771259
81-102P	Ūkininkai Kazlauskai	Ukmergės raj.	Petronių k., Siesikų sen.	The producer of small quantities,	domestic trade	Petronių k., Siesikų sen. , Ukmergės raj. , Lithuania	55,3152719	24,5680339
81-103P	Gražinos Kazlauskienės ūkis	Ukmergės raj.	Petronių k., Siesikų sen.	The producer of small quantities,	domestic trade	Petronių k., Siesikų sen. , Ukmergės raj. , Lithuania	55,3152719	24,5680339
81-104P	Angelės Maskoliūnienės ūkis	Ukmergės raj.	Petronių k., Siesikų sen.	The producer of small quantities,	domestic trade	Petronių k., Siesikų sen. , Ukmergės raj. , Lithuania	55,3152719	24,5680339
81-106P	Astos Račkauskienės ūkis	Ukmergės raj.	Petronių k., Siesikų sen.	The producer of small quantities,	domestic trade	Petronių k., Siesikų sen. , Ukmergės raj. , Lithuania	55,3152719	24,5680339
81-107P	Alvydos Talalienės ūkis	Ukmergės raj.	Petronių k., Siesikų sen.	The producer of small quantities,	domestic trade	Petronių k., Siesikų sen. , Ukmergės raj. , Lithuania	55,3152719	24,5680339
81-108P	Emilijos Zvicevičienės ūkis	Ukmergės raj.	Šinkūnų k.,Siesikų sen.	The producer of small quantities,	domestic trade	Šinkūnų k.,Siesikų sen. , Ukmergės raj. , Lithuania	55,3016996	24,5835719
81-109P	Angelės Astikienės ūkis	Ukmergės raj.	Šinkūnų k.,Siesikų sen.	The producer of small quantities,	domestic trade	Šinkūnų k.,Siesikų sen. , Ukmergės raj. , Lithuania	55,3016996	24,5835719
81-119P	Andriaus Zvicevičiaus ūkis	Ukmergės raj.	Šinkūnų k.,Siesikų sen.	The producer of small quantities,	domestic trade	Šinkūnų k.,Siesikų sen. , Ukmergės raj. , Lithuania	55,3016996	24,5835719
81-121P	Danos Kudlienė ūkis	Ukmergės raj.	Petronių k., Siesikų sen.	The producer of small quantities,	domestic trade	Petronių k., Siesikų sen. , Ukmergės raj. , Lithuania	55,3152719	24,5680339
81-301M	Valerijos Duknauskienės individuali įmonė	Ukmergės raj.	Aušros g.3, Ukmergė	The producer of small quantities,	domestic trade	Aušros g.3, Ukmergė , Ukmergės raj. , Lithuania	55,2553483	24,7547593
81-302M	Vidos Markauskienės individuali įmonė	Ukmergės raj.	Žibučių g.8, Ukmergė	The producer of small quantities,	domestic trade	Žibučių g.8, Ukmergė , Ukmergės raj. , Lithuania	55,23483	24,7689466
81-303M	Ūkininko Donato Čepelio ūkis	Ukmergės raj.	Baublių k., Vidiškių sen. Ukmergės r.	The producer of small quantities,	domestic trade	Baublių k., Vidiškių sen. Ukmergės r. , Ukmergės raj. , Lithuania	55,303493	24,7643391
81-304M	"UAB ""Jurginų mėsa"""	Ukmergės raj.	Jurginų k., Deltuvos sen., Ukmergės r.	The producer of small quantities,	domestic trade	Jurginų k., Deltuvos sen., Ukmergės r. , Ukmergės raj. , Lithuania	55,2708	24,669725
82-001 V	"UAB ""Norfos mažmena"""	Utenos raj.	Aušros g. 79, Utena	Butchers, MC;MM;MP	domestic trade	Aušros g. 79, Utena , Utenos raj. , Lithuania	55,5078982	25,5951334
82-001P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Kuktiškių PSP"	Utenos raj.	Kuktiškių sen. Kuktiškių mstl.	Milk collection point,	 EU	Kuktiškių sen. Kuktiškių mstl. , Utenos raj. , Lithuania	55,3934339	25,6806029
82-002 V	"UAB ""Utenos prekyba"" PC ""Vyturiai"""	Utenos raj.	J.Basanavičiaus g. 93 b, Utena	Butchers, CP;MM;MP	domestic trade	J.Basanavičiaus g. 93 b, Utena , Utenos raj. , Lithuania	55,5008343	25,6133256
82-003 V	"UAB ""Utenos prekyba"""	Utenos raj.	J. Basanavičiaus g. 53, Utena	Butchers, CP;MM;MP	domestic trade	J. Basanavičiaus g. 53, Utena , Utenos raj. , Lithuania	55,4978361	25,5996161
82-004 V	UAB Norfos mažmena	Utenos raj.	Basanavičiaus g. 127, Utena	Butchers, MM;MC;MP	domestic trade	Basanavičiaus g. 127, Utena , Utenos raj. , Lithuania	55,5041171	25,624325
82-005 V	MAXIMA LT, UAB	Utenos raj.	Aušros g. 78, Utena	Butchers, CP;MM;MP	domestic trade	Aušros g. 78, Utena , Utenos raj. , Lithuania	55,5083375	25,596652
82-006 V	"UAB ""Rimi Lietuva"""	Utenos raj.	J. Basanavičiaus g. 52, Utena	Butchers, CP,MM,MP	domestic trade	J. Basanavičiaus g. 52, Utena , Utenos raj. , Lithuania	55,4978539	25,5970078
82-007 V	"UAB ""Utenos prekyba"" PC ""Rašė"""	Utenos raj.	Vaižganto g. 17	Butchers, CP;MP;MM	domestic trade	Vaižganto g. 17 , Utenos raj. , Lithuania	55,5114561	25,6056775
82-008 V	"UAB ""Norfos mažmena"""	Utenos raj.	Aukštakalnio g. 34, Utena	Butchers, CP;MM;MP	domestic trade	Aukštakalnio g. 34, Utena , Utenos raj. , Lithuania	55,5107921	25,5854167
82-009P	Antano Kaušylo pieno ūkis	Utenos raj.	Leliūnų sen. Krylių k.	The producer of small quantities,	domestic trade	Leliūnų sen. Krylių k. , Utenos raj. , Lithuania	55,4880695	25,4555878
82-01 P	"UAB ""Rokiškio pieno gamyba"""	Utenos raj.	Pramonės 8	Milk establishments, PP;fmp;b;cz;sp;CS	 EU  RU	Pramonės 8 , Utenos raj. , Lithuania	55,500979	25,6421203
82-010	Romo Kanapkos pieno ūkis	Utenos raj.	Indrajos g.8, Daugailiai, Utenos r.	The producer of small quantities,	domestic trade	Indrajos g.8, Daugailiai, Utenos r. , Utenos raj. , Lithuania	55,5887579	25,8343659
82-011 M	Pauliaus Dijoko ūkis, Paukščių ir kiškinių gyvūnų šv. mažais kiekiais	Utenos raj.	Vosgėlių km., Leliūnų sen., Utenos raj.	The producer of small quantities,	domestic trade	Vosgėlių km., Leliūnų sen., Utenos raj. , Utenos raj. , Lithuania	55,4524739	25,5240899
82-012 Ž	"UAB ""Giedrupė"""	Utenos raj.	Paežerės g. 9, Rukliai, Utenos r. sav.	The producer of small quantities,	domestic trade	Paežerės g. 9, Rukliai, Utenos r. sav. , Utenos raj. , Lithuania	55,4139649	25,6665892
82-013 Ž	Arvydo Stundžios veikla	Utenos raj.	Smėlio g. 3-27, Utena	The producer of small quantities,	domestic trade	Smėlio g. 3-27, Utena , Utenos raj. , Lithuania	55,5010582	25,6165105
82-014V	"UAB ""Palink"""	Utenos raj.	J.Bertašiaus g. 1, Utena	Butchers,	domestic trade	J.Bertašiaus g. 1, Utena , Utenos raj. , Lithuania	55,5000404	25,609385
82-016P	"AB ,,Pieno žvaigždės"" fil Pasvalio sūrinė Vilučių PSP"	Utenos raj.	Užpalių sen. Vilučių k.	Milk collection point,	 EU	Užpalių sen. Vilučių k. , Utenos raj. , Lithuania	55,7016961	25,5263037
82-02	"UAB ""Biovela"" mėsos perdirbimo padalinys"	Utenos raj.	Pramonės g. 4, Utena	Meat, MP;PP;mp;CS;RW	 EU  RU	Pramonės g. 4, Utena , Utenos raj. , Lithuania	55,5055746	25,6366141
82-025P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Antalgės PSP"	Utenos raj.	Leliūnų sen. Antalgės k.	Milk collection point,	 EU	Leliūnų sen. Antalgės k. , Utenos raj. , Lithuania	55,48912	25,4857969
82-03	"UAB ""Utenos prekyba"""	Utenos raj.	Molėtų g. 72, Utena	Meat, CP;MM,MP;PP,mp	 EU	Molėtų g. 72, Utena , Utenos raj. , Lithuania	55,4869549	25,5813549
82-031P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Biliakiemio k. PSP"	Utenos raj.	Utenos sen. Biliakiemio k.	Milk collection point,	 EU	Utenos sen. Biliakiemio k. , Utenos raj. , Lithuania	55,471508	25,6741905
82-04	"UAB ""Mogemas"""	Utenos raj.	Pramonės g. 4	Other establishments, PP;bl	 EU	Pramonės g. 4 , Utenos raj. , Lithuania	55,5055746	25,6366141
82-046P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Švyturio PSP"	Utenos raj.	Vyžuonų sen. Šiaudinių k.	Milk collection point,	 EU	Vyžuonų sen. Šiaudinių k. , Utenos raj. , Lithuania	55,551703	25,5170231
82-050P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Radeikių PSP"	Utenos raj.	Daugailių sen. Radeikių k.	Milk collection point,	 EU	Daugailių sen. Radeikių k. , Utenos raj. , Lithuania	55,4942136	25,5823675
82-069P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Jotaučių PSP"	Utenos raj.	Utenos sen. Jotaučių k.	Milk collection point,	 EU	Utenos sen. Jotaučių k. , Utenos raj. , Lithuania	55,4942136	25,5823675
82-072P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Juknėnų PSP"	Utenos raj.	Daugailių sen. Juknėnų k.	Milk collection point,	 EU	Daugailių sen. Juknėnų k. , Utenos raj. , Lithuania	55,542684	25,8726963
82-074P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Butiškių PSP"	Utenos raj.	Užpalių sen. Butiškių k.	Milk collection point,	 EU	Užpalių sen. Butiškių k. , Utenos raj. , Lithuania	55,6579158	25,5465279
82-079P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Kaniūkų PSP"	Utenos raj.	Užpalių sen. Kaniūkų k.	Milk collection point,	 EU	Užpalių sen. Kaniūkų k. , Utenos raj. , Lithuania	55,658511	25,6018349
82-080P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Rimiškių PSP"	Utenos raj.	Užpalių sen. Rimiškių k.	Milk collection point,	 EU	Užpalių sen. Rimiškių k. , Utenos raj. , Lithuania	55,6579158	25,5465279
82-089P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Sėlos PSP"	Utenos raj.	Tauragnų sen. Sėlos k.	Milk collection point,	 EU	Tauragnų sen. Sėlos k. , Utenos raj. , Lithuania	55,4224559	25,886056
82-096P	"AB ,,Rokiškio sūris"" Utenos paruošų skyrius Užpalių PSP"	Utenos raj.	Užpalių sen. Užpalių mstl.	Milk collection point,	 EU	Užpalių sen. Užpalių mstl. , Utenos raj. , Lithuania	55,638078	25,5822479
82-097P	Pieno puta ŽŪK Šiaudinių PSP	Utenos raj.	Vyžuonų sen. Šiaudinių k.	Milk collection point,	 EU	Vyžuonų sen. Šiaudinių k. , Utenos raj. , Lithuania	55,551703	25,5170231
82-098P	Pieno puta ŽŪK Vyžuonų PSP	Utenos raj.	Vyžuonų sen. Vyžuonų mstl.	Milk collection point,	 EU	Vyžuonų sen. Vyžuonų mstl. , Utenos raj. , Lithuania	55,5878599	25,4991791
82-099P	Pieno puta ŽŪK Leliūnų PSP	Utenos raj.	Leliūnų sen. Leliūnų mstl.	Milk collection point,	 EU	Leliūnų sen. Leliūnų mstl. , Utenos raj. , Lithuania	55,4746079	25,3963099
82-100P	Pieno puta ŽŪK Kaniūkų PSP	Utenos raj.	Užpalių sen. Kaniūkų k.	Milk collection point,	 EU	Užpalių sen. Kaniūkų k. , Utenos raj. , Lithuania	55,658511	25,6018349
82-101P	Šalva UAB Aukštaičių PSP	Utenos raj.	Daugailių sen. Daugailių mstl.	Milk collection point,	 EU	Daugailių sen. Daugailių mstl. , Utenos raj. , Lithuania	55,5887579	25,8343659
84-001 V	MAXIMA LT, UAB	Šakių raj.	V.Kudirkos g. 66, Šakiai	Butchers, CP;MP;MM	domestic trade	V.Kudirkos g. 66, Šakiai , Šakių raj. , Lithuania	54,9542875	23,039531
84-001P	"ŽŪK ""Suvalkijos pienas"" Baltrušių stac. pieno supirkimo punktas PSP"	Šakių raj.	Baltrušių k., Barzdų sen., Šakių r. sav.	Milk collection point,	 EU	Baltrušių k., Barzdų sen., Šakių r. sav. , Šakių raj. , Lithuania	54,7481596	23,2113545
84-001PP	Ritinių bendruomenės centras	Šakių raj.	Miško g. 4, Prūselių km., Šakių raj.	The producer of small quantities,	domestic trade	Miško g. 4, Prūselių km., Šakių raj. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-002 PP	Dalia Rekešienė	Šakių raj.	Totorviečių k.,K.Naumiesčio sen.,Šakiai	The producer of small quantities,	domestic trade	Totorviečių k.,K.Naumiesčio sen.,Šakiai , Šakių raj. , Lithuania	54,891741	22,9130189
84-002 V	"UAB ""Norfos mažmena"""	Šakių raj.	V.Kudirkos g. 91, Šakiai	Butchers, CP;MM;MP	domestic trade	V.Kudirkos g. 91, Šakiai , Šakių raj. , Lithuania	54,953595	23,0575719
84-002P	"ŽŪK ""Suvalkijos pienas"" Rociškių stac. pieno supirkimo punktas PSP"	Šakių raj.	Rociškių k., Sudargo sen., Šakių r. sav.	Milk collection point,	 EU	Rociškių k., Sudargo sen., Šakių r. sav. , Šakių raj. , Lithuania	55,0249525	22,6720193
84-004 P	"UAB ""Suvalkijos pienas"" PSP"	Šakių raj.	Pergalės g. 10, Lukšiai	Milk collection center, CC	 EU	Pergalės g. 10, Lukšiai , Šakių raj. , Lithuania	54,9515765	23,16826
84-004 V	"UAB ""Palink"""	Šakių raj.	Bažnyčios g. 16/Šiaulių g. 2, Šakiai	Butchers, CP;MM;MP	domestic trade	Bažnyčios g. 16/Šiaulių g. 2, Šakiai , Šakių raj. , Lithuania	54,955249	23,0449203
84-004P	"ŽŪK ""Senoji kryžkelė"" Slavikų stac. pieno supirkimo punktas PSP"	Šakių raj.	Slavikai, Šakių r. sav.	Milk collection point,	 EU	Slavikai, Šakių r. sav. , Šakių raj. , Lithuania	54,9607819	22,7432339
84-005 V	"UAB ""Norfos mažmena"""	Šakių raj.	Šiaulių g. 49, Šakiai	Butchers, CP;MM;MP	domestic trade	Šiaulių g. 49, Šakiai , Šakių raj. , Lithuania	54,9609991	23,0312131
84-005P	"ŽŪK ""Senoji kryžkelė"" Žvirgdaičių stac. pieno supirkimo punktas PSP"	Šakių raj.	Žvirgždaičiai, Šakių r. sav.	Milk collection point,	 EU	Žvirgždaičiai, Šakių r. sav. , Šakių raj. , Lithuania	54,792367	23,0306708
84-006 V	"UAB ""Gulbelė"""	Šakių raj.	Kudirkos g. 61, Šakiai	Butchers, CP,MM,MP	domestic trade	Kudirkos g. 61, Šakiai , Šakių raj. , Lithuania	54,9539972	23,0451186
84-007 V	MB Spirgius	Šakių raj.	Kauno g. 1-10, Lekėčiai, Šakių r. sav.	Butchers,	domestic trade	Kauno g. 1-10, Lekėčiai, Šakių r. sav. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-007P	"UAB ""Pienlita"" Zyplių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Lukšiai, Šakių r. sav.	Milk collection point,	 EU	Lukšiai, Šakių r. sav. , Šakių raj. , Lithuania	54,9498849	23,1738791
84-008 P	Zenonas Kvederavičiaus	Šakių raj.	Šilgalių k., Slavikų sen., Šakių r. sav.	The producer of small quantities,	domestic trade	Šilgalių k., Slavikų sen., Šakių r. sav. , Šakių raj. , Lithuania	54,977724	23,0417379
84-008P	"UAB ""Pienlita"" Rociškių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Rociškių k., Sudargo sen., Šakių r. sav.	Milk collection point,	 EU	Rociškių k., Sudargo sen., Šakių r. sav. , Šakių raj. , Lithuania	55,0249525	22,6720193
84-009	Ūkininkas Stasius Gudaitis; mk	Šakių raj.	Pajotijo k., Gelgaudiškio sen., Šakių r.	The producer of small quantities,	domestic trade	Pajotijo k., Gelgaudiškio sen., Šakių r. , Šakių raj. , Lithuania	55,041754	23,0282221
84-009P	"UAB ""Pienlita"" Gerdžiūnų stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Gerdžiūnų k., Kriūkų sen., Šakių r. sav.	Milk collection point,	 EU	Gerdžiūnų k., Kriūkų sen., Šakių r. sav. , Šakių raj. , Lithuania	55,026661	23,3373349
84-01 P	"UAB ""Lukšių pieninė"""	Šakių raj.	Lukšiai, Tatarės g. 54	Milk establishments, PP	 EU	Lukšiai, Tatarės g. 54 , Šakių raj. , Lithuania	54,9493865	23,1702587
84-010P	"AB ""Vilkyškių pieninė"" Beržynų stac. pieno supirkimo punktas PSP"	Šakių raj.	Veršių k., Sintautų sen., Šakių r. sav.	Milk collection point,	 EU	Veršių k., Sintautų sen., Šakių r. sav. , Šakių raj. , Lithuania	54,8613409	23,070383
84-011P	"AB ""Vilkyškių pieninė"" Gotlybiškių stac. pieno supirkimo punktas PSP"	Šakių raj.	Gotlybiškių k., Šakių sen., Šakių r.	Milk collection point,	 EU	Gotlybiškių k., Šakių sen., Šakių r. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-012P	"AB ""Rokiškio sūris"" Žygėnų stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Žygėnų k., Kidulių sen., Šakių r. sav.	Milk collection point,	 EU	Žygėnų k., Kidulių sen., Šakių r. sav. , Šakių raj. , Lithuania	55,0384428	22,8397599
84-013P	"AB ""Rokiškio sūris"" Voverių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Voverių k., Kidulių sen., Šakių r. sav.	Milk collection point,	 EU	Voverių k., Kidulių sen., Šakių r. sav. , Šakių raj. , Lithuania	55,010932	22,8661708
84-014P	"AB ""Rokiškio sūris"" Paluobių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Paluobių k., Griškabūdžio sen., Šakių r.	Milk collection point,	 EU	Paluobių k., Griškabūdžio sen., Šakių r. , Šakių raj. , Lithuania	54,8816419	23,261772
84-016P	"AB ""Rokiškio sūris"" Jurbūdžių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Briedžių k., Šakių sen., Šakių r. sav.	Milk collection point,	 EU	Briedžių k., Šakių sen., Šakių r. sav. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-017P	"AB ""Rokiškio sūris"" Slavikų stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Slavikai, Šakių r. sav.	Milk collection point,	 EU	Slavikai, Šakių r. sav. , Šakių raj. , Lithuania	54,9607819	22,7432339
84-018P	"UAB ""Lukšių pieninė"" Voverių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Voverių k., Kidulių sen., Šakių r. sav.	Milk collection point,	 EU	Voverių k., Kidulių sen., Šakių r. sav. , Šakių raj. , Lithuania	55,010932	22,8661708
84-019P	"UAB ""Lukšių pieninė"" Giedručių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Giedručių k., Šakių sen., Šakių r. sav.	Milk collection point,	 EU	Giedručių k., Šakių sen., Šakių r. sav. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-02	"UAB ""Samsonas"""	Šakių raj.	Šakių sen., Striūpų km.	Meat, SH;B;P;S;CS;WH;CP;MM	 EU	Šakių sen., Striūpų km. , Šakių raj. , Lithuania	54,952671	23,0480199
84-02 P	"UAB ""Uriga"""	Šakių raj.	Tatarės g. 54, Lukšiai	Milk establishments, PP	 EU	Tatarės g. 54, Lukšiai , Šakių raj. , Lithuania	54,9493865	23,1702587
84-020P	"UAB ""Lukšių pieninė"" Lukšių stac. pieno supirkimo punktas PSP"	Šakių raj.	A.Tatarės g.54, Lukšiai, Šakių r. sav.	Milk collection point,	 EU	A.Tatarės g.54, Lukšiai, Šakių r. sav. , Šakių raj. , Lithuania	54,9493865	23,1702587
84-021P	"UAB ""Lukšių pieninė"" Gelgaudiškio stac. pieno supirkimo punktas PSP"	Šakių raj.	Gelgaudiškis, Šakių r. sav.	Milk collection point,	 EU	Gelgaudiškis, Šakių r. sav. , Šakių raj. , Lithuania	55,079978	22,9775101
84-022P	"UAB ""Lukšių pieninė"" Ritinių stacionarus pieno supirkimo punktas PSP"	Šakių raj.	Ritinių k., Šakių sen., Šakių r. sav.	Milk collection point,	 EU	Ritinių k., Šakių sen., Šakių r. sav. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-023P	"UAB ""Lukšių pieninė"" Kriūkų stac. pieno supirkimo punktas PSP"	Šakių raj.	Darbininkų g. 6, Kriūkai, Šakių r. sav.	Milk collection point,	 EU	Darbininkų g. 6, Kriūkai, Šakių r. sav. , Šakių raj. , Lithuania	55,0700326	23,4026022
84-024P	"UAB ""Lukšių pieninė"" Plokščių stac. pieno supirkimo punktas PSP"	Šakių raj.	Plokščiai, Šakių r. sav.	Milk collection point,	 EU	Plokščiai, Šakių r. sav. , Šakių raj. , Lithuania	55,0832029	23,169673
84-025P	"UAB ""Lukšių pienė"" Kubilių stacionarus pieno supirkimo punktas"	Šakių raj.	Kubilių k., Plokščių sen., Šakių r. sav.	Milk collection point,	 EU	Kubilių k., Plokščių sen., Šakių r. sav. , Šakių raj. , Lithuania	55,0666784	23,2463864
84-026P	"ŽŪK ""Sintautų pienas"" Degutinės stac. pieno supirkimo punktas PSP"	Šakių raj.	Degutinės k., Griškabūdžio s., Šakių r.	Milk collection point,	 EU	Degutinės k., Griškabūdžio s., Šakių r. , Šakių raj. , Lithuania	54,8148259	23,1200309
84-027P	"ŽŪK ""Sintautų pienas"" Keturnaujienos stac. pieno supirkimo punktas PSP"	Šakių raj.	Keturnaujienos k., Sintautų sen., Šakių	Milk collection point,	 EU	Keturnaujienos k., Sintautų sen., Šakių , Šakių raj. , Lithuania	54,952671	23,0480199
84-028P	"ŽŪK ""Sintautų pienas"" Išdagų stac. pieno supirkimo punktas PSP"	Šakių raj.	Išdagų k., Šakių sen., Šakių r. sav.	Milk collection point,	 EU	Išdagų k., Šakių sen., Šakių r. sav. , Šakių raj. , Lithuania	54,9562099	23,0431069
84-029P	"ŽŪK ""Sintautų pienas"" Griškabūdžio stac. pieno supirkimo punktas PSP"	Šakių raj.	Griškabūdis, Šakių r. sav.	Milk collection point,	 EU	Griškabūdis, Šakių r. sav. , Šakių raj. , Lithuania	54,851202	23,16881
84-03	"UAB ""Bomesa"""	Šakių raj.	Baltrušių k.	Meat, PP, mp	 EU	Baltrušių k. , Šakių raj. , Lithuania	54,745269	23,2124919
84-030P	"ŽŪK ""Sintautų pienas"" Panovių stac. pieno supirkimo punktas PSP"	Šakių raj.	Panovių k., K.Naumiesčio sen., Šakių r.	Milk collection point,	 EU	Panovių k., K.Naumiesčio sen., Šakių r. , Šakių raj. , Lithuania	54,77499	22,8665119
84-031P	"ŽŪK ""Sintautų pienas"" Patašinės stac. pieno supirkimo punktas PSP"	Šakių raj.	Patašinės k., Griškabūdžio s., Šakių r.	Milk collection point,	 EU	Patašinės k., Griškabūdžio s., Šakių r. , Šakių raj. , Lithuania	54,8308829	23,2547309
84-032P	"ŽŪK ""Sintautų pienas"" Keturnaujienos-2 st. pieno supirkimo punktas PSP"	Šakių raj.	Keturnaujienos k., Sintautų sen., Šakių	Milk collection point,	 EU	Keturnaujienos k., Sintautų sen., Šakių , Šakių raj. , Lithuania	54,952671	23,0480199
84-034P	"ŽŪK ""Sintautų pienas"" Veršių stac. pieno supirkimo punktas PSP"	Šakių raj.	Veršių k., Sintautų sen., Šakių r. sav.	Milk collection point,	 EU	Veršių k., Sintautų sen., Šakių r. sav. , Šakių raj. , Lithuania	54,8613409	23,070383
84-036P	"ŽŪK ""Sintautų pienas"" Sintautų stac. pieno supirkimo punktas PSP"	Šakių raj.	Sintautai, Šakių r. sav.	Milk collection point,	 EU	Sintautai, Šakių r. sav. , Šakių raj. , Lithuania	54,87827	22,9901391
84-037P	"ŽŪK ""Suvalkijos pienas"" Degutinės PSP"	Šakių raj.	Degutinės k., Griškabūdžio sen., Šakių r	Milk collection point,	 EU	Degutinės k., Griškabūdžio sen., Šakių r , Šakių raj. , Lithuania	54,8148259	23,1200309
84-04	"UAB ""Dvaro žuvys"""	Šakių raj.	Žeimio k., Kriūkų sen.	Fishery establishments, PP	 EU	Žeimio k., Kriūkų sen. , Šakių raj. , Lithuania	55,0243909	23,3751135
84-05	Edvardo Gelažiaus ūkis	Šakių raj.	Kerų k., Lukšių sen., Šakių r.	Egg establishments, EPC	 EU	Kerų k., Lukšių sen., Šakių r. , Šakių raj. , Lithuania	54,9656089	23,262315
84-06	"II ""Saurolita"""	Šakių raj.	S.Lozoraičio g.42, Baltrušiai, Barzdų se	Meat, PP,mp;MP;CP	 EU	S.Lozoraičio g.42, Baltrušiai, Barzdų se , Šakių raj. , Lithuania	54,7801339	23,1952661
84-07	"UAB ""Samsonas"""	Šakių raj.	Lekėčių sen., Sirvydų km.	Meat, PP;mp;CP;MM,MP	 EU  RU	Lekėčių sen., Sirvydų km. , Šakių raj. , Lithuania	55,0041669	23,4744818
