Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.07308/AL;GABINO S.A.L.;Almería/TIJOLA;37.40139485;-2.4981552654;MM, MP, PP;;MP
10.07312/SS;UROLA KOSTAKO ABERE HILTEGI KOOP / B.M. (URKAIKO);Gipuzkoa/ZESTOA;43.2401376;-2.2585203;SH, CP, MM, MP;P, B, C, O, S;
10.07314/MU;CONESA NAVARRO, ANDRES;Murcia/FUENTE ALAMO DE MURCIA;37.7226135;-1.1722273;CP, PP;;MP
10.07318/S;ALIMENTOS DEL CANTABRICO S.A.L.;Cantabria/PEÑACASTILLO;43.4472161;-3.8568870755;CP, MM, MP;;
10.07321/AV;VELAYOS GONZALEZ, FIDEL CARLOS;Ávila/SAN PEDRO DEL ARROYO;40.8932876;-4.5831845;MM, MP, PP;;MP
10.07326/O;RODRIGUEZ ALVAREZ, RAIMUNDO JOAQUIN;Asturias/CAMPUMANES;43.1054181;-5.8185558;MM, MP, PP;;MP
10.07328/SS;EMBUTIDOS ETXEKOAK, S.L.;Gipuzkoa/OIARTZUN;43.2984861;-1.8596587;MM, MP, PP;;MP
10.07330/J;LOMAS RUANO, CONCEPCION;Jaén/NOALEJO;37.5289448;-3.6535053;CP, MM, MP, PP;;MP
10.07331/SE;MATADERO FRIGORIFICO NUESTRA SEÑORA DEL CARMEN S.L.;Sevilla/MORON DE LA FRONTERA;37.1223593;-5.4555183;RW, SH, CP, MM, MP;P, B, C, O;
10.07332/H;HERMANOS VELAZQUEZ JABUGO S.A.;Huelva/AROCHE;37.9436167;-6.9539589;CP, PP;;MP
10.07337/M;MATADERO COMARAN, S.L.;Madrid/ARANJUEZ;40.0322347;-3.6039679;SH;P;
10.07340/V;LUIS Y VICENTE LLADRO S.C.P.;Valencia/València/XIRIVELLA;39.4713561;-0.4121494;RW, PP;;MP
10.07341/MU;EMBUTIDOS GALINDO MARTOS S.L.;Murcia/TORRE-PACHECO;37.9763889;-1.0503551897;CP;;
10.07343/MA;INDUSTRIAS CARNICAS ESPEJO S.L.;Málaga/VELEZ-MALAGA;36.7821366;-4.0992542;CP, PP;;MP
10.07346/T;COMVENCAR SA;Tarragona/CAMBRILS;41.0679423;1.0657579;CP, MM, MP;;
10.07348/AB;ELABORADOS PUERTA DE VALENCIA, S.L.;Albacete/ALMANSA;38.8682065;-1.0978627;MM, MP, PP;;MP
