code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
SH 00562;SH;Meine Döner Produktion GmbH;Von-Bonsart-Str. 4;22885 Barsbüttel;;SH 00562;;;;;;;;;;;;;;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5701522;10.188336
SH 00563;SH;Jan Voss, Fischereibetrieb SC 4 Cap Skagen;Heiligendamm 13;25761 Büsum;;SH 00563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;54.1418503;8.8654809
SH 00564;SH;Hidel GbR;Osterstraat 28;25821 Almdorf;;SH 00564;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;54.58297;9.01908
SH 00565;SH;Herbert Vogelsang;Norden 2;25872 Wittbek;;SH 00565;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;54.4792;9.27253
SH 00566;SH;Anke Hansen;Frowähr 9;25876 Wisch;;SH 00566;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;54.41305;9.15194
SH 00567;SH;Jan Dieter Nielsen;Taarepswoi 6;25938 Borgsum;;SH 00567;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;54.6980861;8.4626251
SH 00568;SH;Landschlachterei Brodersby;Alte Landstraße 18;24864 Brodersby-Goltoft;;SH 00568;;;;;B, C, O;B, C, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.5526775;9.7001695
SH 00570;SH;Harro Hansen;Ostermarsch 99;25856 Hattstedtermarsch;;SH 00570;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;54.54525;9.0312001
SH 00571;SH;Hof Dollerupholz;Kreuzweg 2;24799 Westerholz;;SH 00571;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;54.8163752;9.6703169
SH 00572;SH;Hof Sophienlust;Sohphienlust;24241 Schierensee;;SH 00572;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;54.2501247;9.9974876
SH 00573;SH;Phönix-Küche Irina Reimers e.K.;Dr.- Hermann-Lindrath-Str. 12b;23812 Wahlstedt;;SH 00573;;;;;;;;;;;;;B, P, A;B, P, A;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;53.94869;10.19885
SH 00574;SH;Doray Foods GmbH Warenhandel;Donaubogen 8;24539 Neumünster;;SH 00574;;;;;;;;;;;;;;O, fG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.0373493;9.9819395
SH 00576;SH;Organic Meat And Offal CO. (O.M.O.C GmbH;Gut Heinrichshof 10;22956 Witzhave;;SH 00576;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;53.5812787;10.3358547
SH 00577;SH;BMA Naturdarm UG;Hamburger Str. 1;22946 Trittau;;SH 00577;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;53.60504;10.41531
SH 00578;SH;Biofrisch Gosch GbR;Förstereiweg 9;24358 Ascheffel;;SH 00578;;;;;B, C, O, P;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.4322661;9.6984853
SH 00579;SH;SD 5 Hornsriff DEU 400770101 Inhaber: Heiko Gindmeier;Am Sportplatz 2;25718 Friedrichskoog;;SH 00579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;54.00239;8.88282
SH 00580;SH;Biohof Rzehak GbR;Holander Allee 24;24214 Tüttendorf;;SH 00580;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;54.37847;9.96888
SH 00581;SH;Stich & Co. GmbH & Co. KG;Schlüskamp 24;24576 Bad Bramstedt;;SH 00581;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.92;9.8872101
SH 00582;SH;Lukas Thaden Fischereibetrieb SD 3 Fortuna;Rügendamm 11;25761 Büsum;;SH 00582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;54.1402481;8.8669478
SH 00583;SH;Malte Janssen, Fischereifahrzeug SE2 MEDUSA;Schweriner Straße 18/8;25761 Büsum;;SH 00583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;54.1420897;8.8638716
SH 00584;SH;Abshar GmbH;Drechslerstr. 13;23556 Lübeck;;SH 00584;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;53.8619259;10.6077554
SL-EFB 002;SL;SIMO Fishprocessing;Hilbringer Straße 2-4;66663 Merzig;SL-EFB 002, SL-EFB 002;;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;X;;;;;;;;;;49.4453888;6.6140603
SL-EFB 004;SL;Lebenshilfe Nordsaarland Werkstätte gGmbH;Blättelbornweg 6;66663 Merzig;SL-EFB 004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;49.44922;6.63463
SL-EFB 007;SL;Grunder Gourmet Treff;Frankenholzer Straße 141;66450 Bexbach;SL-EFB 007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;49.3649474;7.2602204
SL-EFU 003;SL;Havekost Seefische-Tiefkühlkost-Feinkost;Am Güterbahnhof;66424 Homburg;SL-EFU 003;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3253537;7.3448047
SL-EHK 001;SL;Fleischgroßhandel Di Paola;Am Schlachthof;66763 Dillingen/ Saar;SL-EHK 001;;;;;;;;;;;;;;B, A;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3476027;6.7272848
SL-ES 015;SL;Fleischerei Stroh GmbH;Eisenbahnstraße 1;66687 Wadern;SL-ES 015, SL-EZ 015, SL-EV 015;;;;;;B, C, O, P;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4940364;6.8683083
SL-ES-001;SL;Landmetzgerei Walter Austgen;Hausbacher Straße 22;66663 Merzig-Brotdorf;SL-ES-001, SL-EV-003;;;;;;B, P;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4680554;6.6772621
SL-EUZ 007;SL;Schröder Fleischwarenfabrik GmbH & Co. KG;Straße des 13. Januar 26-30;66121 Saarbrücken;SL-EUZ 007, EV 7, EZ 267;;;;X;;;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.22577;7.01499
SL-EV 8 001;SL;Pizza Colucci;Saar-Pfalz-Park 309;66450 Bexbach;SL-EV 8 001;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3604;7.27088
SL-EV 8-43;SL;Nestlé Wagner GmbH - Betriebsstätte Nonnweiler;Ernst-Wagner-Straße 48;66620 Nonnweiler;SL-EV 8-43;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.5819788;6.9959686
SL-EV 9-001;SL;Grunder Gourmet GmbH;Konrad-Zuse-Straße 8;66459 Kirkel;SL-EV 9-001;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3021851;7.2666282
SL-EV 9-002;SL;Fleisch- und Wurstwaren Loth;Auenrech 3;66640 Namborn;SL-EV 9-002;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.50767;7.14919
SL-EV 11-001 C;SL;Pars Marketing GmbH;Brebacher Landstraße 11;66121 Saarbrücken;SL-EV 11-001 C, SL-EV 11-001 C;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;49.22425;7.02604
SL-EV 016;SL;Dostlar GmbH Dönerproduktion;Gewerbegebiet Klinkenthal 11;66578 Schiffweiler;SL-EV 016, SL-EHK 005;;;;;;;;;;;;;;;B, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3466667;7.1269628
SL-EV 020;SL;Gourmet-Service;Neue Industriestraße 10;66424 Homburg;SL-EV 020;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3081863;7.3194078
SL-EV 1193;SL;Metzgerei & Feinkost Klaus Blug GmbH;Eckenstraße 35;66822 Lebach;SL-EV 1193;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4487108;6.8975948
SL-EV-040;SL;Gerhard Kempf Martinshof GmbH;In der Brombach 6;66606 St. Wendel;SL-EV-040;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.49321;7.2724901
SL-EZ 007;SL;Globus Handelshof St. Wendel GmbH & Co. KG - Betriebsstätte Saarlouis -;Dieselstraße 1;66740 Saarlouis;SL-EZ 007, SL-EV 007;;;;;;;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3200776;6.748063
SL-EZ 105;SL;Peter Zenz GmbH;Südstraße 1;66780 Rehlingen;SL-EZ 105, SL-EZ 105;;;;;;;B, C, O, P;;;;;;;;B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.36803;6.68848
SL 00002;SL;Dostlar GmbH;Am Schlachthof 1;66763 Dillingen/ Saar;SL-EUZ 015;SL 00002;;;X;;;;;A;;;;;;S, B, P, A, C, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.347537;6.7281077
SL 003 EWG;SL;Gansen Christian;Johannishof;66640 Namborn;SL 003 EWG;;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O, S;;;;;;;;;;;;;;;;;;49.514033;7.1860162
SL 00004;SL;Lebenshilfe Nordsaarland Werkstätte gGmbH;Nordstraße 2;66780 Rehlingen;;SL 00004;;X;;;;;;;;;;;;;;mp;;;;;;;;;;B;;;;;;;X;X;;;;;;;;;;49.3701025;6.6891392
SL 005;SL;Saarpfälzische Bio-Höfe GmbH;Eichelberger Hof;66399 Mandelbachtal-Ommersheim;SL 005;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.2291888;7.1665216
SL 00016;SL;Dostlar Convenience Food GmbH;Gewerbepark Klinkenthal  16;66578 Schiffweiler;;SL 00016;;;;;;;;;;;;;;B, C, O, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3491697;7.1043171
SL 00022;SL;Dachser SE Zweigniederlassung Überherrn;Thomas-Dachser-Straße 1;66802 Überherrn;;SL 00022;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.26511;6.73143
SL 00071;SL;Metzgerei Georg Geiß;Bexbacher Straße  28;66540 Neunkirchen;;SL 00071;;;;;;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3695666;7.1906314
SL 00222;SL;Peter Schu GmbH & Co. KG;Am Schlachthof 5;66763 Dillingen/ Saar;;SL 00222;;;;;;B, C, O, P;;;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3476149;6.7278861
SL 750;SL;EDEKA Südwest Frische Center;Saarwiesenweg 1;66333 Völklingen;SL 750;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;49.2461852;6.864869
SL 10000;SL;Ulrike Schreiner - Kirchheimerhof;Kirchheimerhof  1;66440 Blieskastel;;SL 10000;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;49.1822666;7.2543102
SL 10010;SL;Wendelinushof St. Wendeler Landfleisch gGmbH;Missionshausstraße  50;66606 St. Wendel;;SL 10010;;;;;B, P;B, P;A;A;;;wU;;;B, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.464455;7.1919358
SL 10020;SL;Alexander Paul Maurer;Am Eichertswald 5;66780 Rehlingen-Siersburg;;SL 10020;;;;;;;;;fG;fG;wU;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3616262;6.6562666
SL 10030;SL;Heribert Klein;Ponsheimer Hof;66399 Mandelbachtal;;SL 10030;;;;;B, O, P, C;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;49.1826432;7.1138353
SL 10040;SL;Wild Zimmer;Sotzweilerstr. 37 c;66636 Tholey-Bergweiler;;SL 10040;;;;;;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4701445;7.0005792
SL 10050;SL;Gänssteiger Hof;Paradeplatz  5;66440 Blieskastel;;SL 10050;;;;;;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2373705;7.2600372
SL 10060;SL;Metzgerei Mathis;An der Windmühle 24;66780 Rehlingen-Siersburg;;SL 10060;;;;;B, O, P, C;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3643092;6.6794073
SL 10080;SL;Hans-Werner Schäfer;Alte Steige  22;66440 Blieskastel;;SL 10080;;;;;B, O, P, C;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2314;7.18651
SL 11000;SL;Hirztaler GmbH & Co. KG Dorf- und Schaukäserei;Dorfwaldstraße 7a;66557 Illingen;;SL 11000;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.40135;7.07846
SL 11004;SL;Bioagrar Osterthal Stoll und Kempf GmbH;In der Brombach 6;66606 St. Wendel;;SL 11004;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;49.49321;7.2724901
SL 11256;SL;A. Schmitt Wildhandel e.K.;Bliesstr. 7;66538 Neunkirchen;;SL 11256;;;;;;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.34871;7.19372
SL 12000;SL;Metzgerei Martin;Nauwies 12;66802 Überherrn;;SL 12000;;;;;B, P, O, C;B, P, O, C;;;fG;;wU;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2472342;6.7024548
SL 12001;SL;Christian Gansen;Johannishof;66640 Namborn;;SL 12001;;;;;;;;;fG;fG;wU;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.514033;7.1860162
SL 12004;SL;Martinshof Bio Metzgerei GmbH;In der Brombach 6;66606 St. Wendel;;SL 12004;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.49321;7.2724901
SL 30002;SL;Fleischwaren Breuer & Sohn GmbH;Hauptstraße  39;66131 Saarbrücken;;SL 30002;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2038863;7.1085317
SL 30003;SL;Metzgerei Roth + Jakob EK;Blieskasteler Straße  90;66424 Homburg;;SL 30003;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3071064;7.310679
SL 30005;SL;Metzgerei Peter Welde;Heusweiler Straße  47;66265 Heusweiler;;SL 30005;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.33078;6.98151
SL 30006;SL;Fleisch- und Wurstwaren Birr GmbH;Kurt-Schumacher-Straße  4;66806 Ensdorf;;SL 30006;;;;;;;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.29341;6.78221
SL 30007;SL;Morsch, W. GmbH;St. Josefstraße  9-10;66115 Saarbrücken;;SL 30007;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2401826;6.9736468
SL 30008;SL;Helmut Kasper GmbH;Goldbacher Straße  43;66839 Schmelz;;SL 30008;;;;;;;;;;;;;;B, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4437633;6.8590565
SL 30009;SL;Haldy GmbH & Co. KG;Hans-Großwendt-Ring 7;66333 Völklingen;;SL 30009;;X;X;;;;;;;;;;;;;mp;;;;;;;;;;B;;;X;;;;;X;;;;;;;;;;49.239083;6.888015
SL 30011;SL;Metzgerei Sämann;Saarbrückerstraße  287;66125 Saarbrücken;;SL 30011;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.278785;7.0368343
SL 30015;SL;Thome, Gerd (Metzgerei Schmidt);Am Markt  11;66292 Riegelsberg;;SL 30015;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3017665;6.9430705
SL 30016;SL;Metzgerei Hartmann - Günther Hartmann;Hixbergerstraße 39a;66292 Riegelsberg;;SL 30016;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.29427;6.9318801
SL 30017;SL;Metzgerei Stefan Becker;Pickardstraße 10;66793 Saarwellingen;;SL 30017;;;;;;;;;;;;;;B, O, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;49.3614918;6.8739587
SL 30018;SL;Wintringer Hof;Am Wintringer Hof 7;66271 Kleinblittersdorf;;SL 30018;;X;X;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.17345;7.07078
SL 30019;SL;Aljasem Fleischvertriebs GbR;Saarbrücker Str. 51;66687 Wadern;;SL 30019;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.48612;6.84008
SL 30020;SL;meat company Fleischhandel;Völklinger Str. 53-55;66333 Völklingen;;SL 30020;;X;;;;B, C, O;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2223439;6.8093744
SL 30277;SL;Kunzler Fleischwarenfabrik GmbH & Co. KG;Otto-Kunzler-Straße  1;66802 Überherrn;;SL 30277;;;X;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2445576;6.6948022
SL 31001;SL;Juchem Food Ingredients GmbH;Juchem-Straße  1;66571 Eppelborn;;SL 31001;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;49.40836;6.96518
SL 31002;SL;Haus Sonne - Neukahlenberger Hof;Neukeukahlenberger Hof 1;66440 Blieskastel;;SL 31002;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.1994515;7.2814594
SL 31003;SL;K. D. Pharma Bexbach Gmbh;Am Kraftwerk  6;66450 Bexbach;;SL 31003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;49.359259;7.2458331
SL 31004;SL;Niki-Delikatessen;An der Römerbrücke 17;66121 Saarbrücken;;SL 31004;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;49.22321;7.01849
SL 31006;SL;Schafskäserei Quackenmühle;Friedhofstraße 9;66629 Oberkirchen;;SL 31006;;;;;;;;;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;;;49.5224084;7.2696663
SL 31007;SL;Stefan Haupt Birkenhof;St. Nikolauser Straße 75;66352 Großrosseln;;SL 31007;;;;;;;;;;;;;;;;;;;;;;;;;X;C;;;;;;;;;;;;;;;;;;49.1639847;6.8331203
SL 31008;SL;Koordination Krafticus GmbH;Grostrowstraße 1;66740 Saarlouis;;SL 31008;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.29739;6.76227
SL 31009;SL;Best-Eiprodukte Konfeld GmbH & Co. KG;Beim Schwarzen Kreuz;66709 Weiskirchen;;SL 31009;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;49.549987;6.8378052
SL 31010;SL;Feinkost Olivengarten;Tilsitter Straße 5;66121 Saarbrücken;;SL 31010;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;49.2354287;7.0485005
SL 31011;SL;Feinkost Yargici;Kreisstraße 134 b;66128 Saarbrücken;;SL 31011;;X;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;X;;;;;;;;;;49.2337;6.90423
SL 31012;SL;Stefan Jacobs;In der Mühlenwies 1;66679 Losheim am See-Hausbach;;SL 31012;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.501806;6.6928048
SL 31013;SL;Charlotte Eismanufaktur GmbH;Wendelinushof;66606 St. Wendel;;SL 31013;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;49.4681677;7.2050103
SL 31014;SL;Aquanova GmbH;Feldstraße 12;66606 St. Wendel;;SL 31014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;49.4998958;7.1021641
SL 31015;SL;Flavex Naturextrakte GmbH;Nordstraße 7;66780 Rehlingen;;SL 31015;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.37191;6.69258
SL 31016;SL;Cham Saar GmbH;Lebacher Str.  46;66557 Illingen-Wustweiler;;SL 31016;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.3993246;7.0358853
SL 31017;SL;D'Angelo Pasta GmbH;Werner-von-Siemensstr. 39;66773 Saarwellingen;;SL 31017;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;49.35152;6.77673
SL 31018;SL;Kahlenbergerhof;Kahlenbergerhof;66440 Blieskastel;;SL 31018;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;49.2661324;7.1562305
SL 40001;SL;Metzgerei W. Linkhauer;Schulstraße  19;66578 Schiffweiler;;SL 40001;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3553886;7.0974591
SL 40002;SL;Metzgerei Konrad GmbH;Eisenbahnstraße  29;66117 Saarbrücken;;SL 40002;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.234667;6.9887457
SL 40003;SL;Velten Fleisch und Wurstwaren;Kirchenstraße  115;66128 Saarbrücken;;SL 40003;;;;;;P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2373387;6.9154681
SL 40004;SL;Metzgerei Brücker e. K.;Eichenlaubstraße 35;66687 Wadern;;SL 40004;;;;;;B, P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.5685149;6.8499497
SL 40005;SL;Metzgerei Otto Breyer;Butterberg  13;66583 Spiesen-Elversberg;;SL 40005;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3160403;7.1500332
SL 40006;SL;Metzgerei Thomas Hennrich GmbH;Hauptstraße 112;66583 Spiesen-Elversberg;;SL 40006;;;;;;B, P;;A;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.3154324;7.1521215
SL 40009;SL;Metzgerei Werth GmbH;Wiesenweg  1;66440 Blieskastel;;SL 40009;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.1957;7.24647
SL 40012;SL;Metzgerei Gisela Scherer;Alsbachstraße  11;66646 Marpingen;;SL 40012;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4521053;7.0542794
SL 40017;SL;Weider Volker;Hauptstraße 17;66625 Nohfelden;;SL 40017;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.5938303;7.0646253
SL 40018;SL;Metzgerei Günter Scherer;Ernst-Wagner-Straße  22;66620 Nonnweiler;;SL 40018;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.5822578;6.9926824
SL 40020;SL;FETHI GmbH Herr Fethi Akbulut;Brebacher Landstraße 13a;66121 Saarbrücken;;SL 40020;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2240841;7.0264654
SL 50002;SL;SERHAT Döner-Produktion e. K.;Wiesenstraße 11;66128 Saarbrücken;;SL 50002;;;;;;;;;;;;;;P, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2299725;6.9063712
SL 50004;SL;Ülkem Dönerproduktion;Henry-Ford-Straße 111;66740 Saarlouis;;SL 50004;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.347971;6.7536666
SL 50006;SL;Mercan Can Döner Produktion;Wellesweiler Str. 83;66538 Neunkirchen;;SL 50006;;;;;;;;;;;;;;B, C, O, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.35139;7.19651
SL 50007;SL;Ustam Döner Kebab GmbH;Gewerbegebiet Zur Heiligenwies 19;66663 Merzig;;SL 50007;;;;;;;;;;;;;;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.46386;6.6784
SL 60001;SL;Arbeiterwohlfahrt Landesverband Saarland e.V. Hof: AWO Bauernhof Münchweiler;Hohenzollernstraße  45;66687 Saarbrücken;;SL 60001;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.2348614;6.9842769
SL 60002;SL;Andreas Feld;Heusweiler Straße  10;66822 Lebach;;SL 60002;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.3928986;6.9226126
SL 60003;SL;Raimund Fontaine;Labacher Hof  2;66793 Saarwellingen-Reisbach;;SL 60003;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.35255;6.85267
SL 60004;SL;Markus Joseph;Raupenbachstraße  25;66636 Tholey;;SL 60004;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;49.49659;6.97679
SL 60005;SL;Walter Kany;Goetzenmühle  1;66271 Bliesransbach;;SL 60005;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.1622533;7.0891705
SL 60006;SL;Geflügelfarm Wittmer GmbH;Reimsbacher Straße  68;66839 Schmelz;;SL 60006;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.4458156;6.8111327
SL 60007;SL;LORSON Gerhard GmbH;Friedrichsweiler Straße  34a;66787 Wadgassen;;SL 60007;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.2436;6.77132
SL 60008;SL;Martin Presser;Steinertshaus  57;66557 Illingen;;SL 60008;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.35944;7.02081
SL 60009;SL;Michael Schwab;Annenhof  1;66663 Merzig;;SL 60009;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;49.40333;6.60705
