code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
BB 54001;BB;Herbert  Wischer SPEDITION GmbH;Ketziner Straße  32d;14476 Potsdam OT Fahrland;;BB 54001;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.47596;12.99641
BB 60001;BB;Yaman Döner;Eberswalder Straße  127;16227 Eberswalde;;BB 60001;;;;;;;;;;;;;;B, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.8392876;13.7296372
BB 60003;BB;Transgourmet Deutschland GmbH & Co. OHG, Selgros Cash & Carry Markt Ahrensfelde-Lindenberg;Rudolf-Diesel-Straße 7;16356 Ahrensfelde;;BB 60003;;;;X;;B, O, P, C;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6100697;13.5264103
BB 60005;BB;Hoffnungstaler Werkstätten gGmbH - Lobetaler Biomolkerei;Sydower Feld  1;16359 Biesenthal;;BB 60005;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;52.7531071;13.6728271
BB 60007;BB;Fleischerei Taßler;Dorfstraße  44;16230 Breydin;;BB 60007;;;;;;;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7794703;13.8354176
BB 60009;BB;Lunower Landfleischerei;Bauernstraße 10;16248 Lunow-Stolzenhagen OT Lunow;;BB 60009;;;;;B, O, P, C;B, O, P, C;;;fG, R;R, fG;wA, wL, wU, wG;wA, wL, wU, wG;B, C, O, P, fG, R, wA, wL, wG;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.92608;14.12135
BB 60011;BB;Fleischerei Fam. Geduhn GmbH;Buchenstraße  22;16348 Wandlitz;;BB 60011;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7064563;13.4362728
BB 60013;BB;Fleischerei Ortlieb;Dorfstraße 2;16247 Althüttendorf;;BB 60013;;;;;B, O, P;B, O, P;;;;;;wG;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.9595322;13.8041884
BB 60014;BB;Landwirtschaftsbetrieb Engelhardt;Ladeburger Landweg  5;16321 Bernau;;BB 60014;;;;;B, O, P;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6935163;13.5647981
BB 60015;BB;Eichorn Schäferei & Obstbau Olaf Willert;Dorfstraße  22;16321 Bernau;;BB 60015;;;;;O, P, C;O, P, C;;;;;wL, wU;wL, wU;;O, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6803383;13.5327226
BB 60016;BB;EGV Lebensmittel für Großverbraucher AG;Ernst-Abbe-Straße 2-4;16225 Eberswalde;;BB 60016;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.8556213;13.7684288
BB 60017;BB;Kah-Ra-Man Döner GmbH;Galswinkel 1;16356 Ahrensfelde;;BB 60017;;;;;;B;;A;;;;;;B, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6014976;13.5148013
BB 60022;BB;Ökodorf Brodowin GmbH & Co. VertriebsKG;Carl-Linde-Straße 4;16225 Eberswalde;;BB 60022;;;X;;;B, C, O, P;;;;;;;;B, C, O, P;;mp;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;52.8553787;13.7702123
BB 60023;BB;Volkssolidarität Barnim e.V. Essen auf Rädern;Joachimsthaler Straße 100;16230 Britz;;BB 60023;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;52.8874544;13.8199721
BB 60024;BB;Sudem Dönerproduktion und Vertriebs GmbH;Hauptstraße 62;16348 Wandlitz;;BB 60024;;;;;;B;;A;;;;;;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6842754;13.4432582
BB 60025;BB;Hoffnungstaler Stiftung Lobetal;Bonhoefferweg 1;16321 Bernau;;BB 60025;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;52.7263313;13.5959197
BB 60026;BB;Milchschafhof Luisenfelde;Luisenfelde 11;16247 Ziethen;;BB 60026;;;;;;;;;;;;;;;;;;;;;;;;;;B, O;;;;;;;;;;;;;;;;;;52.97781;13.91694
BB 60027;BB;Bildungseinrichtung Buckow e.V.;Buckow 17;16244 Schorfheide;;BB 60027;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;52.8838269;13.7337072
BB 60028;BB;Torsten Rahlf;Mehrower Dorfstraße 1;16356 Ahrensfelde;;BB 60028;;;;;;;;;;;;;B, P, A, fG, wA, wL, wU;B, P, A, fG, wA, wL, wU;;mp;;;;;;;;;;;;;X;;;;;;;;;;;;;;;52.5707973;13.6144651
BB 60029;BB;Pflege- und Service Center AG;Beeskower Str. 1;16227 Eberswalde;;BB 60029;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;;;;;;;Catering/Großküche;;;;52.83153;13.76343
BB 60030;BB;Gesunde Ernährung für Kinder und Jugendliche im Barnim e.V.;Ruhlsdorfer Str. 45;16359 Biesenthal;;BB 60030;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;52.77197;13.61394
BB 60031;BB;Buckower Landfleischerei;Buckow 14;16244 Schorfheide;;BB 60031;;;;;;B, O, P;;A;;;;wA, wL, wU, wG;B, O, P, A, wA, wL, wU, wG;B, O, P, A, wA, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.8837859;13.7336922
BB 60040;BB;Ücler Fleischgroßhandel GmbH;Hauptstraße 62;16348 Wandlitz OT Schönwalde;;BB 60040;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6841583;13.4421253
BB 60041;BB;Janusz Hradetzky, Hof Stolze Kuh;Weinbergstraße 6A;16248 Lunow-Stolzenhagen;;BB 60041;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.9454816;14.1008396
BB 60687;BB;EWG Eberswalder Wurst GmbH;Joachimsthaler Straße  100;16230 Britz;;BB 60687;;;;;;;;;;;;;B, P;B, O, P, C, A, L, wU;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.8874544;13.8199721
BB 61001;BB;DACHSER SE - Zweigniederlassung Schönefeld;Thomas-Dachser-Allee 2;12529 Schönefeld;;BB 61001;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3853419;13.492838
BB 61005;BB;METRO GASTRO, METRO Deutschland GmbH;Am Mühlbergweg 7;15907 Lübben;;BB 61005;;X;;X;;;;;;;;;B, P;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.9049299;13.8521554
BB 61006;BB;Spreewaldfleischerei Christian Scherz;Cottbuser Straße   58;15907 Lübben;;BB 61006;;;;;;;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.9325046;13.8917799
BB 61007;BB;Landwirtschaftsbetrieb Horst Wehlan;Steinkirchener Dorfstraße   1;15907 Lübben;;BB 61007;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.9330907;13.8920086
BB 61008;BB;Rind- und Schweineschlachterei G. Nusche;Karl-Marx-Straße  117;15713 KönigsWusterhausen;;BB 61008;;;;;B, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3188928;13.6512222
BB 61009;BB;Schlachtung und Verarbeitung Marcus Müller;Garrenchener Weg   1;15926 Luckau;;BB 61009;;;;;S, B, O, P, C;S, B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.82111;13.7629401
BB 61015;BB;Landwirt Detlef Henry Simon;Waldecker Straße  26;15749 Mittenwalde OT Töpchin;;BB 61015;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.1685942;13.5778361
BB 61016;BB;Fleischerei Nakonzer GbR;Schloßstraße 2;15913 Neu Zauche;;BB 61016;;;;;;;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.9270854;14.0870643
BB 61017;BB;Fleischerei & Partyservice Hinkel;Heinrich-Heine-Allee  17;15732 Eichwalde;;BB 61017;;;;;;;;;;;wU;;;B, O, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3722673;13.6139837
BB 61018;BB;Fleischerei & Partyservice Penndorf;Bahnhofstraße 6;15758 Kablow;;BB 61018;;;;;;;;;;;wU;;;B, O, P, A, S;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.2991586;13.7204596
BB 61019;BB;Bioland-Hof Hohenbrück;Zur Mühle  8;15913 Märkische Heide;;BB 61019;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.0941912;13.9046081
BB 61020;BB;Meyer Quick Service Logistics GmbH & Co.KG;Chausseestraße   3;15745 Wildau;;BB 61020;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.31646;13.6071374
BB 61021;BB;Spreenhagener Vermehrungsbetrieb für Legehennen GmbH;Motzener Straße  111;15741 Bestensee;;BB 61021;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.2241923;13.6101135
BB 61022;BB;Golden Frozen Logistik GmbH;Am Möllenberg 11-15;15713 Königs Wusterhausen;;BB 61022;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.30687;13.6576
BB 61023;BB;Lagerwirtschaft Simone Kuckei;Schulstraße 4;15910 Krausnick;;BB 61023;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.0325371;13.8305052
BB 61024;BB;Fleischerei Jörg Kayser;Prieroser Dorfaue 2;15754 Heidesee OT Prieros;;BB 61024;;;;;;B, O, P, C;;A;;;;wL, wU, wG, wA;wU, A, C, wG, B, O, P, wA, wL;B, P, A, wA, wG, wU, C, O, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.22359;13.76647
BB 61025;BB;Transthermos GmbH;Chausseestraße 3;15745 Wildau;;BB 61025;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.31646;13.6071374
BB 61027;BB;Landfleischerei  Zum Brunnenhof GbR;Neue Straße 7;15754 Heidesee OT Klein Eichholz;;BB 61027;;;;;B, C, O, P;B, C, O, P;;;;;wA, wL, wU, wG;;B, C, O, P, wA, wL, wU, wG;B, C, O, P, wA, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;30.09.2020;;;52.2167954;13.8246044
BB 61028;BB;Schlachtung und Fleischerei Peter Lorsch;Uckroer Hauptstraße 11;15926 Heideblick;;BB 61028;;;;;B, O, P;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8538041;13.6072309
BB 61029;BB;frigo-log GmbH, Kühl- und Tiefkühllogistik;Am Möllenberg 11-15;15713 Königs-Wusterhausen;;BB 61029;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.30687;13.6576
