code;name;street;city;postalcode;lat;lng
DK 175 EF;LL COLD ApS;Kratholmvej 6;Odense;5260;55.3300530;10.3313110
DK 1753 EF;Brdr. Dethlefsen;Søndre Kajgade 29;Grenaa;8500;56.4104100;10.9251460
DK 1757 EF;TBA Holding af 1982 ApS;Snaptunvej 57 B;Juelsminde;7130;55.8196370;10.0361080
DK 1763 EF;Løkken op og udhalerspil/ Løkken fiskeriforening;Sdr. Strandvej 21;Løkken;9480;57.3710920;9.7064890
DK 1765 EF;Fonden Sletten Havn - Kølerum;Sletten Havn 1;Humlebæk;3050;55.9536730;12.5348590
DK 177 EF;Constellation Cold Logistics Denmark A/S;Industrivej 2;Padborg;6330;54.8226720;9.3576990
DK 1770 EF;Vedbæk Fiskeriforening;Vedbæk Strandvej 356B;Vedbæk;2950;55.8500870;12.5705110
DK 1781 EF;Østerbro Fiskeriforening , Kølerum;Østersøvej 127;Nordhavn;2150;55.7233020;12.6031610
DK 1783 EF;Fiskernes Fællessalg ApS;Gennem Landet 92;Anholt;8592;56.7160650;11.5117720
DK 1787 EF;THORUPSTRAND FISKERI- OG OPHALINGSSPIL A.M.B.A.;Thorup Strandvej 329;Fjerritslev;9690;57.1394110;9.1259710
DK 1787 EF;Thorupstrand Fiskesamlecentral ApS;Thorup Strandvej 329;Fjerritslev;9690;57.1394110;9.1259710
DK 179 EF;Constellation Cold Logistics Denmark A/S;Transitvej 8;Padborg;6330;54.8303950;9.3536040
DK 1791 EF;THORKILD GRØNS SAMLECENTRAL;Auktionsgade 23;Hanstholm;7730;57.1205630;8.5968580
DK 1798 EF;Lerøy Seafood Copenhagen ApS;Kattegatvej 57+67;Nordhavn;2150;55.7183600;12.6066480
DK 180 EF;LL COLD ApS;Industrivangen 27-31;Hanstholm;7730;57.1165352;8.6361837
DK 1816 EF;Hesnæs Fisk A/S O V Jørgensen;Bønnetvej 69;Stubbekøbing;4850;54.8236830;12.1382060
DK 1817 EF;Hesnæs Fisk kølerum;Havneplads 3;Stubbekøbing;4850;54.8919000;12.0431900
DK 1834 EF;Carl Lauridsen ApS;Gl. Landevej 37;Hemmet;6893;55.8508880;8.3747610
