"source_column","transformation","target_column","target_database","comments"
"nom_piece_detachee_1_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_1_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_1_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_2_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_2_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_2_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_3_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_3_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_3_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_4_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_4_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_4_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_5_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_5_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_5_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_6_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_6_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_6_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_7_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_7_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_7_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_8_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_8_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
