# we use this file to match Systeme U categories (with 3 levels: "category1 - category2 - category3") to OFF categories
# if we don't have a match, we check if category3, category2 or category 1 exist in the OFF taxonomy

# categories with no match:

categories with no mapping to OFF categories:
Pains, Viennoiseries et Pâtisseries - Viennoiseries et brioches - Pains au chocolat, croissants, feuilletés	3
Epicerie salée - Pâtes, riz, purées, féculents - Purées, polentas	3
Produits frais - Pâte à tarte et autre pâte - Autres pâtes	3
Epicerie sucrée - Gâteaux moelleux - Brownies, pain d'épices	3
Charcuterie, traiteur - Salade et entrée - Salade repas	3
Charcuterie, traiteur - Apéritif - Charcuterie apéritive	3
Epicerie salée - Apéritifs et chips - Assortiment	3
Univers bébé - Desserts, goûters - Biscuits, jus	2
Bières, vins, alcools - Bières, cidres - Blondes en boîte	2
Produits frais - Fromages à déguster - Fromages à la coupe	2
Pains, Viennoiseries et Pâtisseries - Gâteaux moelleux et biscuiterie - Biscuiterie2
Bières, vins, alcools - Champagnes et effervescents - Effervescents étrangers	2
Bio - Epicerie salée bio - Plats cuisinés, galettes et tofus	1
Viandes, poissons - Préparé sur place par nos poissonniers - Crevettes, coquillages et crustacés	1
Epicerie salée - Céréales, légumes secs - Sachets micro ondables	1


# top categories in 2025
Viandes, poissons - Volaille - Poulet	90  fr:poulets
Viandes, poissons - Boucherie - Saucisse, paupiette et farce	46  fr:charcuterie
Univers bébé - Repas - Plats complets	46  fr: Plats principaux pour bébé
Bio - Produits frais bio - Yaourts, desserts et compotes	46
Epicerie sucrée - Pâte à tartiner, confiture et miel - Confitures, gelées, marmelades	44
Bio - Boissons bio - Jus de fruits et légumes	44
Viandes, poissons - Boucherie - Boeuf	41
Epicerie salée - Apéritifs et chips - Crackers, gressins et bretzels	39
Epicerie salée - Conserves de légumes - Légumes verts	39
Surgelés - Légumes surgelés - Légumes natures	39
Epicerie sucrée - Compotes et desserts - Compotes	39
Produits frais - Desserts et compotes - Crèmes desserts, mousses et liégeois	38
Viandes, poissons - Traiteur de la mer - Saumons et poissons fumés	37
Epicerie sucrée - Biscuits - Assortiments biscuits, fins, boudoirs	37
Bio - Epicerie sucrée bio - Biscuits et gâteaux	35
Charcuterie, traiteur - Charcuterie - Pâté, rillette, foie gras	35
Epicerie salée - Pâtes, riz, purées, féculents - Pâtes	35
Bio - Epicerie salée bio - Pâtes, riz et féculents	34
Epicerie salée - Soupes et croûtons - Soupes en brique et en bouteille	34
Epicerie sucrée - Biscuits - Biscuits au chocolat	34
Viandes, poissons - Boucherie - Porc	33
Boissons sans alcool - Sirops et concentrés - Sirops	33
Viandes, poissons - Volaille - Canard et Lapin	32  fr:viande
Produits frais - Yaourts et fromages blancs - Yaourts aux fruits et aromatisés	31
Bières, vins, alcools - Fontaines à vin - Vins rouges	31
Charcuterie, traiteur - Charcuterie - Knack, saucisse, boudin, saucisson cuit	30
Produits frais - Desserts et compotes - Desserts gourmands	29
Charcuterie, traiteur - Charcuterie - Lardon, dés, poitrine	29
Bio - Produits frais bio - Traiteur, traiteur de la mer	29
Epicerie salée - Apéritifs et chips - Biscuits soufflés	29
Fruits et Légumes - Prêts à consommer - Fruits séchés et Fruits secs	29
Bières, vins, alcools - Fontaines à vin - Vins rosés	29
Surgelés - Apéritifs, entrées et snacks - Apéritifs, petits fours	28
Boissons sans alcool - Cafés - Cafés dosettes et capsules	27
Epicerie salée - Conserves de légumes - Légumes à cuisiner	27
Bio - Epicerie salée bio - Conserves de légumes et de poissons	27
Bio - Produits frais bio - Fromages	27
Fruits et Légumes - Fruits - Oranges, Citrons, Agrumes	26
Epicerie salée - Conserves de viandes et poissons - Thon	26
Nutrition et régimes alimentaires - Sans gluten - Sans gluten	26
